# x_m,y_m,w_tr_right_m,w_tr_left_m
-31.9000,14.2500,0.6801,0.6801
-31.8500,14.2500,0.6964,0.6964
-31.8000,14.2500,0.7000,0.7000
-31.7500,14.2500,0.7000,0.7000
-31.7000,14.2500,0.7000,0.7000
-31.7500,14.2000,0.7500,0.7500
-31.8000,14.2000,0.7500,0.7500
-31.8500,14.2000,0.7433,0.7433
-31.9000,14.2000,0.7280,0.7280
-31.9500,14.2000,0.7159,0.7159
-32.0000,14.2000,0.7071,0.7071
-32.0500,14.1500,0.7517,0.7517
-32.1000,14.1500,0.7382,0.7382
-32.1500,14.1000,0.7280,0.7280
-32.1000,14.1000,0.7159,0.7159
-32.0500,14.1000,0.7071,0.7071
-32.0000,14.1500,0.7517,0.7517
-31.9500,14.1500,0.7500,0.7500
-31.9000,14.1500,0.7500,0.7500
-31.8500,14.1500,0.7500,0.7500
-31.8000,14.1500,0.7500,0.7500
-31.7500,14.1500,0.7500,0.7500
-31.7000,14.2000,0.7500,0.7500
-31.6500,14.2000,0.7500,0.7500
-31.6000,14.2000,0.7500,0.7500
-31.5500,14.2000,0.7500,0.7500
-31.6000,14.1500,0.7517,0.7517
-31.6500,14.1500,0.7500,0.7500
-31.7000,14.1500,0.7500,0.7500
-31.6500,14.1000,0.7000,0.7000
-31.6000,14.1000,0.7018,0.7018
-31.5500,14.1500,0.7566,0.7566
-31.5000,14.1500,0.7649,0.7649
-31.4500,14.1500,0.7762,0.7762
-31.5000,14.1000,0.7159,0.7159
-31.5500,14.1000,0.7071,0.7071
-31.5000,14.0500,0.6671,0.6671
-31.4500,14.1000,0.7280,0.7280
-31.4000,14.1000,0.7433,0.7433
-31.3500,14.1000,0.7616,0.7616
-31.4000,14.0500,0.6964,0.6964
-31.4500,14.0500,0.6801,0.6801
-31.4000,14.0000,0.6500,0.6500
-31.3500,14.0500,0.7159,0.7159
-31.3000,14.0500,0.7382,0.7382
-31.2500,14.0500,0.7632,0.7632
-31.3000,14.0000,0.6946,0.6946
-31.3500,14.0000,0.6708,0.6708
-31.3000,13.9500,0.6519,0.6519
-31.2500,14.0000,0.7211,0.7211
-31.2000,14.0000,0.7500,0.7500
-31.1500,14.0000,0.7810,0.7810
-31.2000,13.9500,0.7106,0.7106
-31.2500,13.9500,0.6801,0.6801
-31.2000,13.9000,0.6727,0.6727
-31.1500,13.9500,0.7433,0.7433
-31.1000,13.9500,0.7778,0.7778
-31.1500,13.9000,0.7071,0.7071
-31.1000,13.9000,0.7433,0.7433
-31.0500,13.9000,0.7778,0.7778
-31.0000,13.9000,0.8139,0.8139
-31.0500,13.8500,0.7433,0.7433
-31.1000,13.8500,0.7071,0.7071
-31.0500,13.8000,0.7071,0.7071
-31.0000,13.8500,0.7778,0.7778
-30.9500,13.8500,0.8139,0.8139
-31.0000,13.8000,0.7433,0.7433
-30.9500,13.8000,0.7778,0.7778
-30.9000,13.8000,0.8139,0.8139
-30.9500,13.7500,0.7433,0.7433
-30.9000,13.7500,0.7778,0.7778
-30.8500,13.7500,0.8139,0.8139
-30.9000,13.7000,0.7433,0.7433
-30.8500,13.7000,0.7778,0.7778
-30.8000,13.7000,0.8139,0.8139
-30.8500,13.6500,0.7433,0.7433
-30.8000,13.6500,0.7778,0.7778
-30.7500,13.6500,0.8139,0.8139
-30.8000,13.6000,0.7433,0.7433
-30.8500,13.6000,0.7071,0.7071
-30.8000,13.5500,0.7106,0.7106
-30.7500,13.6000,0.7810,0.7810
-30.7500,13.5500,0.7500,0.7500
-30.7000,13.5500,0.7906,0.7906
-30.7500,13.5000,0.7211,0.7211
-30.7000,13.5000,0.7632,0.7632
-30.6500,13.5000,0.8062,0.8062
-30.7000,13.4500,0.7382,0.7382
-30.6500,13.4500,0.7778,0.7778
-30.6000,13.4500,0.7906,0.7906
-30.6500,13.4000,0.7433,0.7433
-30.6000,13.4000,0.7810,0.7810
-30.5500,13.4000,0.7810,0.7810
-30.6000,13.3500,0.7500,0.7500
-30.6500,13.3500,0.7106,0.7106
-30.6000,13.3000,0.7211,0.7211
-30.5500,13.3500,0.7906,0.7906
-30.5500,13.3000,0.7632,0.7632
-30.5000,13.3000,0.8062,0.8062
-30.5500,13.2500,0.7382,0.7382
-30.5000,13.2500,0.7826,0.7826
-30.4500,13.2500,0.7826,0.7826
-30.5000,13.2000,0.7616,0.7616
-30.4500,13.2000,0.8062,0.8062
-30.4000,13.2000,0.7616,0.7616
-30.4500,13.1500,0.7778,0.7778
-30.4000,13.1500,0.7826,0.7826
-30.3500,13.1500,0.7382,0.7382
-30.4000,13.1000,0.7778,0.7778
-30.4500,13.1000,0.7433,0.7433
-30.4000,13.0500,0.7433,0.7433
-30.3500,13.1000,0.7632,0.7632
