# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.2443,6.9357,1.1000,1.1000
-0.1943,6.9357,1.1000,1.1000
-0.1443,6.9357,1.1000,1.1000
-0.0943,6.9357,1.1000,1.1000
-0.0443,6.9357,1.1000,1.1000
0.0057,6.9357,1.1000,1.1000
-0.0443,6.8857,1.1500,1.1500
-0.0943,6.8857,1.1500,1.1500
-0.1443,6.8857,1.1500,1.1500
-0.1943,6.8857,1.1500,1.1500
-0.2443,6.8857,1.1500,1.1500
-0.2943,6.8857,1.1500,1.1500
-0.3443,6.8857,1.1500,1.1500
-0.3943,6.8857,1.1500,1.1500
-0.4443,6.8357,1.1180,1.1180
-0.3943,6.8357,1.1102,1.1102
-0.3443,6.8357,1.1045,1.1045
-0.2943,6.8357,1.1011,1.1011
-0.2443,6.8357,1.1000,1.1000
-0.1943,6.8357,1.1000,1.1000
-0.1443,6.8357,1.1000,1.1000
-0.0943,6.8357,1.1000,1.1000
-0.0443,6.8357,1.1000,1.1000
0.0057,6.8857,1.1500,1.1500
0.0557,6.8857,1.1500,1.1500
0.1057,6.8857,1.1500,1.1500
0.1557,6.8857,1.1500,1.1500
0.1057,6.8357,1.1045,1.1045
0.0557,6.8357,1.1011,1.1011
0.0057,6.8357,1.1000,1.1000
0.0557,6.7857,1.0512,1.0512
0.1057,6.7857,1.0548,1.0548
0.1557,6.8357,1.1102,1.1102
0.2057,6.8357,1.1180,1.1180
0.2557,6.8357,1.1281,1.1281
0.2057,6.7857,1.0689,1.0689
0.1557,6.7857,1.0607,1.0607
0.2057,6.7357,1.0198,1.0198
0.2557,6.7857,1.0794,1.0794
0.3057,6.7857,1.0920,1.0920
0.2557,6.7357,1.0308,1.0308
0.3057,6.7357,1.0440,1.0440
0.3557,6.7357,1.0595,1.0595
0.3057,6.6857,0.9962,0.9962
0.3557,6.6857,1.0124,1.0124
0.4057,6.6857,1.0308,1.0308
0.3557,6.6357,0.9657,0.9657
0.4057,6.6357,0.9849,0.9849
0.4557,6.6357,1.0062,1.0062
0.4057,6.5857,0.9394,0.9394
0.4557,6.5857,0.9618,0.9618
0.5057,6.5857,0.9862,0.9862
0.4557,6.5357,0.9179,0.9179
0.4057,6.5357,0.8944,0.8944
0.4557,6.4857,0.8746,0.8746
0.5057,6.5357,0.9434,0.9434
0.5057,6.4857,0.9014,0.9014
0.5557,6.4857,0.9301,0.9301
0.5057,6.4357,0.8602,0.8602
0.4557,6.4357,0.8322,0.8322
0.5057,6.3857,0.8201,0.8201
0.5557,6.4357,0.8902,0.8902
0.5557,6.3857,0.8515,0.8515
0.6057,6.3857,0.8846,0.8846
0.5557,6.3357,0.8139,0.8139
0.5057,6.3357,0.7810,0.7810
0.5557,6.2857,0.7778,0.7778
0.6057,6.3357,0.8485,0.8485
0.6057,6.2857,0.8139,0.8139
0.6557,6.2857,0.8515,0.8515
0.6057,6.2357,0.7810,0.7810
0.6557,6.2357,0.8201,0.8201
0.7057,6.2357,0.8602,0.8602
0.6557,6.1857,0.7906,0.7906
0.6057,6.1857,0.7500,0.7500
0.6557,6.1357,0.7632,0.7632
0.7057,6.1857,0.8322,0.8322
0.7057,6.1357,0.8062,0.8062
0.7557,6.1357,0.8500,0.8500
0.7057,6.0857,0.7826,0.7826
0.6557,6.0857,0.7382,0.7382
0.7057,6.0357,0.7616,0.7616
0.7557,6.0857,0.8276,0.8276
0.7557,6.0357,0.8062,0.8062
0.8057,6.0357,0.8500,0.8500
0.7557,5.9857,0.7826,0.7826
0.7057,5.9857,0.7382,0.7382
0.7557,5.9357,0.7616,0.7616
0.8057,5.9857,0.8276,0.8276
0.8057,5.9357,0.8062,0.8062
0.8557,5.9357,0.8500,0.8500
0.8057,5.8857,0.7826,0.7826
0.7557,5.8857,0.7382,0.7382
0.8057,5.8357,0.7616,0.7616
0.8557,5.8857,0.8276,0.8276
0.8557,5.8357,0.8078,0.8078
0.9057,5.8357,0.8500,0.8500
0.8557,5.7857,0.7906,0.7906
0.8057,5.7857,0.7433,0.7433
0.8057,5.7357,0.7280,0.7280
0.8557,5.7357,0.7762,0.7762
0.9057,5.7857,0.8382,0.8382
0.9057,5.7357,0.8246,0.8246
0.8557,5.6857,0.7649,0.7649
0.9057,5.6857,0.8139,0.8139
0.9557,5.6857,0.8000,0.8000
0.9057,5.6357,0.8062,0.8062
0.8557,5.6357,0.7566,0.7566
0.8557,5.5857,0.7517,0.7517
0.9057,5.5857,0.8016,0.8016
0.9557,5.6357,0.8000,0.8000
0.9557,5.5857,0.8000,0.8000
0.9057,5.5357,0.8000,0.8000
0.9557,5.5357,0.8000,0.8000
1.0057,5.5357,0.7500,0.7500
0.9557,5.4857,0.8000,0.8000
0.9057,5.4857,0.8000,0.8000
0.9057,5.4357,0.8000,0.8000
0.9557,5.4357,0.8000,0.8000
1.0057,5.4857,0.7500,0.7500
1.0057,5.4357,0.7500,0.7500
0.9557,5.3857,0.8000,0.8000
0.9057,5.3857,0.8000,0.8000
0.9057,5.3357,0.8000,0.8000
0.9557,5.3357,0.8000,0.8000
1.0057,5.3857,0.7500,0.7500
1.0057,5.3357,0.7500,0.7500
0.9557,5.2857,0.8000,0.8000
0.9057,5.2857,0.8000,0.8000
0.9057,5.2357,0.8000,0.8000
0.9557,5.2357,0.8000,0.8000
1.0057,5.2857,0.7500,0.7500
1.0057,5.2357,0.7500,0.7500
0.9557,5.1857,0.8000,0.8000
0.9057,5.1857,0.8000,0.8000
0.9057,5.1357,0.8000,0.8000
0.9557,5.1357,0.8000,0.8000
1.0057,5.1857,0.7500,0.7500
1.0057,5.1357,0.7500,0.7500
0.9557,5.0857,0.8000,0.8000
0.9057,5.0857,0.8000,0.8000
0.9057,5.0357,0.8000,0.8000
0.9557,5.0357,0.8000,0.8000
1.0057,5.0857,0.7500,0.7500
1.0057,5.0357,0.7500,0.7500
0.9557,4.9857,0.8000,0.8000
0.9057,4.9857,0.8000,0.8000
0.9057,4.9357,0.8000,0.8000
0.9557,4.9357,0.8000,0.8000
1.0057,4.9857,0.7500,0.7500
1.0057,4.9357,0.7500,0.7500
0.9557,4.8857,0.8000,0.8000
