time,x,y,vx,vy,yaw
1716570055.095064,1.264438,0.323710,0.000000,0.000000,0.594928
1716570055.110072,1.309999,0.323167,3.035898,-0.036153,0.581422
1716570055.120060,1.322621,0.310363,0.000000,0.000000,0.574575
1716570055.137249,1.280987,0.273382,-2.422082,-2.151435,0.546883
1716570055.160062,1.320913,0.266866,1.750129,-0.285617,0.527890
1716570055.170085,1.351942,0.263222,3.096010,-0.363530,0.529312
1716570055.180049,1.337035,0.237349,0.000000,0.000000,0.511356
1716570055.195763,1.278379,0.208540,-3.732738,-1.833374,0.498670
1716570055.210064,1.298904,0.202572,1.435192,-0.417257,0.483375
1716570055.220051,1.282087,0.180267,0.000000,0.000000,0.467777
1716570055.230059,1.377721,0.207022,9.556380,2.673561,0.488118
1716570055.245049,1.336019,0.212958,-2.781962,0.395965,0.488590
1716570055.260054,1.309279,0.184534,-1.782041,-1.894311,0.469389
1716570055.270053,1.309552,0.173887,0.000000,0.000000,0.464046
1716570055.286540,1.318635,0.209622,0.550902,2.167513,0.491184
1716570055.310064,1.330041,0.204354,0.484882,-0.223941,0.483921
1716570055.330050,1.321778,0.188268,-0.413471,-0.804890,0.475580
1716570055.345051,1.271220,0.163295,-3.370205,-1.664713,0.461774
1716570055.360049,1.325503,0.187199,3.619311,1.593812,0.464318
1716570055.370069,1.330997,0.198652,0.548357,1.143069,0.468785
1716570055.380049,1.312604,0.184679,0.000000,0.000000,0.458698
1716570055.410057,1.325158,0.180770,0.418348,-0.130250,0.443485
1716570055.420047,1.396024,0.234239,0.000000,0.000000,0.478899
1716570055.436965,1.307527,0.238159,-5.230725,0.231684,0.498018
1716570055.485323,1.217456,0.214082,-1.862615,-0.497891,0.479157
1716570055.495096,1.198053,0.206298,0.000000,0.000000,0.473435
1716570055.510068,1.295976,0.249307,6.540576,2.872693,0.498775
1716570055.520046,1.276384,0.241207,0.000000,0.000000,0.492932
1716570055.536108,1.265223,0.225690,-0.694826,-0.966057,0.483731
1716570055.545056,1.247926,0.217945,0.000000,0.000000,0.478007
1716570055.560064,1.324698,0.255001,5.115299,2.469045,0.507156
1716570055.585383,1.289820,0.249786,-1.377565,-0.205971,0.506629
1716570055.595094,1.271486,0.241560,0.000000,0.000000,0.500899
1716570055.610066,1.243137,0.229306,-1.893411,-0.818479,0.492064
1716570055.620083,1.244855,0.230407,0.171454,0.109878,0.493697
1716570055.636859,1.193429,0.228063,-3.065292,-0.139719,0.493988
1716570055.660052,1.328884,0.308505,5.840414,3.468445,0.525813
1716570055.670074,1.340387,0.316785,1.147814,0.826154,0.531436
1716570055.686892,1.299406,0.328141,-2.436798,0.675256,0.540696
1716570055.710057,1.289618,0.330054,-0.422519,0.082603,0.535359
1716570055.720059,1.320328,0.350564,3.070357,2.050573,0.546862
1716570055.736919,1.330432,0.379523,0.599308,1.717520,0.555582
1716570055.760085,1.283966,0.365111,-2.005888,-0.622110,0.545256
1716570055.770051,1.283652,0.369724,0.000000,0.000000,0.547044
1716570055.785497,1.289892,0.378379,0.403956,0.560343,0.553674
1716570055.795082,1.340866,0.414667,0.000000,0.000000,0.568083
1716570055.810057,1.310430,0.402911,-2.032589,-0.785109,0.560226
1716570055.820052,1.290259,0.396023,0.000000,0.000000,0.555123
1716570055.836102,1.265451,0.399810,-1.545650,0.235956,0.558622
1716570055.845046,1.246861,0.393777,0.000000,0.000000,0.554147
1716570055.860065,1.299053,0.444666,3.475050,3.388255,0.561399
1716570055.870050,1.310163,0.455557,0.000000,0.000000,0.566377
1716570055.886667,1.269858,0.436184,-2.425567,-1.165856,0.555617
1716570055.910064,1.242830,0.428831,-1.155183,-0.314258,0.548103
1716570055.920061,1.222137,0.421234,0.000000,0.000000,0.542044
1716570055.936766,1.210862,0.417280,-0.674922,-0.236696,0.537436
1716570055.960052,1.281556,0.455340,3.035899,1.634451,0.552220
1716570055.970252,1.260649,0.445769,-2.049761,-0.938304,0.544585
1716570055.986824,1.191129,0.416862,-4.195120,-1.744375,0.525342
1716570056.010055,1.161883,0.401542,-1.258924,-0.659468,0.511366
1716570056.020061,1.248624,0.454192,8.668818,5.261751,0.526485
1716570056.036227,1.224876,0.427801,-1.469070,-1.632485,0.512569
1716570056.045044,1.240529,0.433019,0.000000,0.000000,0.514420
1716570056.060064,1.209212,0.414965,-2.085025,-1.202020,0.499867
1716570056.070082,1.211239,0.413611,0.202346,-0.135128,0.497107
1716570056.080054,1.190356,0.402399,0.000000,0.000000,0.487444
1716570056.095043,1.294060,0.451247,6.918616,3.258890,0.506069
1716570056.110062,1.318456,0.453320,1.624330,0.138026,0.504838
1716570056.120082,1.298000,0.438616,-2.041618,-1.467610,0.493826
1716570056.137091,1.254853,0.398037,-2.536669,-2.385668,0.466805
1716570056.160072,1.287625,0.387618,1.426048,-0.453374,0.457516
1716570056.170051,1.303796,0.386325,0.000000,0.000000,0.454551
1716570056.187020,1.285821,0.319123,-1.059234,-3.960127,0.425730
1716570056.210064,1.276532,0.292229,-0.403109,-1.167076,0.401051
1716570056.220075,1.316959,0.293236,4.038291,0.100591,0.403921
1716570056.237034,1.284375,0.269327,-1.921319,-1.409824,0.388761
1716570056.260063,1.304464,0.246875,0.872306,-0.974938,0.374334
1716570056.280051,1.283346,0.214243,-1.056519,-1.632590,0.351196
1716570056.295070,1.376228,0.242240,6.184018,1.864026,0.353376
1716570056.310062,1.367021,0.216723,-0.614150,-1.702132,0.339080
1716570056.320054,1.344949,0.196572,0.000000,0.000000,0.325059
1716570056.330055,1.362026,0.187046,1.707456,-0.952462,0.322368
1716570056.345043,1.318962,0.157344,-2.873268,-1.981701,0.306528
1716570056.360953,1.282182,0.126154,-2.311715,-1.960383,0.283882
1716570056.370059,1.287759,0.114444,0.000000,0.000000,0.278572
1716570056.388346,1.236501,0.063578,-2.803030,-2.781547,0.245852
1716570056.410059,1.408628,0.088729,7.927435,1.158325,0.246657
1716570056.420058,1.384366,0.067066,0.000000,0.000000,0.231764
1716570056.430075,1.384985,0.050400,0.061844,-1.663843,0.222733
1716570056.445050,1.331240,0.035339,-3.588835,-1.005683,0.215585
1716570056.460055,1.362189,0.014816,2.062726,-1.367782,0.210027
1716570056.480361,1.390391,-0.005743,1.388858,-1.012490,0.193516
1716570056.495043,1.337554,-0.015181,-3.598767,-0.642800,0.188664
1716570056.510387,1.323800,-0.039867,-0.896352,-1.608779,0.175360
1716570056.520068,1.297948,-0.057041,0.000000,0.000000,0.163143
1716570056.537043,1.277609,-0.055736,-1.198227,0.076902,0.170405
1716570056.560064,1.364912,-0.068576,3.792334,-0.557748,0.163033
1716570056.570058,1.337314,-0.083527,0.000000,0.000000,0.152503
1716570056.580051,1.335690,-0.115527,0.000000,0.000000,0.144567
1716570056.595054,1.274124,-0.131851,-4.103641,-1.088067,0.133755
1716570056.610069,1.472933,-0.117909,13.241252,0.928574,0.151098
1716570056.620052,1.495808,-0.113373,0.000000,0.000000,0.152198
1716570056.636678,1.413814,-0.133529,-4.931618,-1.212305,0.139305
1716570056.660065,1.375486,-0.163456,-1.638849,-1.279661,0.122306
1716570056.670097,1.494002,-0.162693,11.813323,0.076047,0.137325
1716570056.685678,1.433129,-0.153217,-3.906967,0.608226,0.142988
1716570056.710060,1.432061,-0.171419,-0.043799,-0.746539,0.126651
1716570056.720052,1.472953,-0.176909,0.000000,0.000000,0.130013
1716570056.735891,1.529508,-0.160261,3.570502,1.050998,0.126497
1716570056.745053,1.502442,-0.170151,0.000000,0.000000,0.120406
1716570056.760054,1.458016,-0.185645,-2.961547,-1.032865,0.110432
1716570056.770046,1.455473,-0.193019,0.000000,0.000000,0.106872
1716570056.785232,1.425567,-0.190492,-1.969429,0.166400,0.111080
1716570056.795054,1.502537,-0.182584,0.000000,0.000000,0.099692
1716570056.810066,1.457230,-0.195323,-3.017960,-0.848573,0.091790
1716570056.820054,1.454549,-0.201166,0.000000,0.000000,0.088371
1716570056.835800,1.387670,-0.209750,-4.247400,-0.545129,0.083180
1716570056.845059,1.401139,-0.212594,0.000000,0.000000,0.082002
1716570056.860065,1.457405,-0.213683,3.749811,-0.072562,0.070804
1716570056.870085,1.467648,-0.217246,1.022236,-0.355534,0.067666
1716570056.886508,1.405147,-0.214819,-3.805745,0.147758,0.072683
1716570056.910053,1.362617,-0.223920,-1.806278,-0.386504,0.066578
1716570056.920054,1.440700,-0.223074,7.807603,0.084577,0.063857
1716570056.937126,1.399167,-0.216626,-2.432828,0.377714,0.065709
1716570056.960056,1.332019,-0.224197,-2.928499,-0.330218,0.060685
