# ffba8487-07ab-4649-b061-972d224374ef
# 640d50d3ed8e45fe00cec3284414c1f5a85be351
# s_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -30.9770407; 13.7478482; 0.6999582; 0.9278418; -1.8048958; -0.7142273; 2.6763957; 0.6848625
0.0999705; -30.8824417; 13.7218299; 0.7439191; 0.8752085; -1.8727733; -0.6698722; 2.7018560; 0.9698994
0.1999409; -30.7890883; 13.6893940; 0.7878800; 0.8225751; -1.9369679; -0.6298793; 2.7375077; 1.2543503
0.2999114; -30.6973118; 13.6509247; 0.8318409; 0.7699418; -1.9978782; -0.5950396; 2.7829381; 1.5321341
0.3998818; -30.6074434; 13.6068064; 0.8758018; 0.7173085; -2.0559438; -0.5657669; 2.8374426; 1.7412036
0.4998523; -30.5198146; 13.5574232; 0.9197627; 0.6646751; -2.1116267; -0.5422420; 2.8981405; 1.7157505
0.5998228; -30.4347565; 13.5031594; 0.9637236; 0.6120418; -2.1653988; -0.5245277; 2.9567325; 1.6588138
0.6997932; -30.3526005; 13.4443994; 1.0076845; 0.5594084; -2.2177366; -0.5126555; 3.0122968; 1.5920800
0.7997637; -30.2737985; 13.3816292; 1.0335547; 0.5296855; -2.2689908; -0.5034380; 3.0646785; 1.5282788
0.8997341; -30.1986849; 13.3153266; 1.0473027; 0.5153144; -2.3187029; -0.4887126; 3.1141322; 1.4770196
0.9997046; -30.1270059; 13.2455282; 1.0610507; 0.5009434; -2.3668494; -0.4736342; 3.1611922; 1.4473509
1.0996751; -30.0587680; 13.1724732; 1.0747987; 0.4865723; -2.4134493; -0.4586255; 3.2066370; 1.4498112
1.1996455; -29.9939778; 13.0964005; 1.0885467; 0.4722012; -2.4585475; -0.4440455; 3.2515223; 1.4846746
1.2996160; -29.9326422; 13.0175493; 1.1022947; 0.4578301; -2.5022111; -0.4301915; 3.2968537; 1.5192391
1.3995865; -29.8747676; 12.9361586; 1.1160427; 0.4434590; -2.5445249; -0.4173049; 3.3426042; 1.5537392
1.4995569; -29.8203608; 12.8524674; 1.1260553; 0.4338160; -2.5855882; -0.4055790; 3.3887547; 1.5874552
1.5995274; -29.7692966; 12.7664839; 1.1183073; 0.4466534; -2.6255826; -0.3938970; 3.4352665; 1.6206810
1.6994978; -29.7216107; 12.6784641; 1.1105593; 0.4594909; -2.6644027; -0.3816434; 3.4821109; 1.6542233
1.7994683; -29.6773440; 12.5887339; 1.1028113; 0.4723284; -2.7019853; -0.3695994; 3.5292837; 1.6891847
1.8994388; -29.6364407; 12.4974637; 1.0950633; 0.4851658; -2.7383665; -0.3579387; 3.5768115; 1.7268914
1.9994092; -29.5988447; 12.4048235; 1.0873154; 0.4980033; -2.7735930; -0.3468053; 3.6247561; 1.7631296
2.0993797; -29.5645002; 12.3109836; 1.0795674; 0.5108408; -2.8077202; -0.3363167; 3.6730612; 1.7866630
2.1993501; -29.5333512; 12.2161141; 1.0718194; 0.5236783; -2.8408105; -0.3265679; 3.7213715; 1.7989912
2.2993206; -29.5053417; 12.1203854; 1.0452256; 0.5552899; -2.8729321; -0.3176352; 3.7693895; 1.8025605
2.3992911; -29.4802632; 12.0233292; 1.0119784; 0.5935295; -2.9044182; -0.3106640; 3.8168971; 1.7997495
2.4992615; -29.4582318; 11.9256000; 0.9787313; 0.6317691; -2.9351974; -0.3037687; 3.8637478; 1.7927924
2.5992320; -29.4392033; 11.8273528; 0.9454842; 0.6700088; -2.9652517; -0.2968593; 3.9098592; 1.7837777
2.6992024; -29.4231150; 11.7286738; 0.9122371; 0.7082484; -2.9945901; -0.2900092; 3.9552054; 1.7746865
2.7991729; -29.4099040; 11.6296495; 0.8789899; 0.7464880; -3.0232263; -0.2832833; 3.9998102; 1.7714121
2.8991434; -29.3995074; 11.5303659; 0.8457428; 0.7847276; -3.0511780; -0.2767388; 4.0438422; 1.7697484
2.9991138; -29.3918623; 11.4309095; 0.8114393; 0.8242505; -3.0784666; -0.2704255; 4.0873591; 1.7688133
3.0990843; -29.3869005; 11.3312177; 0.7746713; 0.8667670; -3.1051587; -0.2645984; 4.1303950; 1.7680293
3.1990548; -29.3845703; 11.2311046; 0.7379033; 0.9092836; -3.1313987; -0.2594493; 4.1729683; 1.7670762
3.2990252; -29.3848407; 11.1310358; 0.7011353; 0.9518002; 3.1260805; -0.2543061; 4.2150890; 1.7658396
3.3989957; -29.3876550; 11.0310649; 0.6643673; 0.9943168; 3.1009020; -0.2492076; 4.2567639; 1.7643630
3.4989661; -29.3929567; 10.9312454; 0.6275993; 1.0368333; 3.0762422; -0.2441889; 4.2980004; 1.7639396
3.5989366; -29.4006890; 10.8316312; 0.5908313; 1.0793499; 3.0520900; -0.2392811; 4.3388352; 1.7658820
3.6989071; -29.4107954; 10.7322757; 0.5540633; 1.1218665; 3.0284322; -0.2345119; 4.3793336; 1.7690775
3.7988775; -29.4232194; 10.6332326; 0.5400052; 1.1388572; 3.0052542; -0.2299057; 4.4195332; 1.7732270
3.8988480; -29.4379402; 10.5343317; 0.5297271; 1.1515993; 2.9824825; -0.2256375; 4.4594635; 1.7781629
3.9988184; -29.4548993; 10.4357295; 0.5194490; 1.1643414; 2.9601153; -0.2214746; 4.4991490; 1.7838270
4.0987889; -29.4740310; 10.3375661; 0.5091709; 1.1770835; 2.9381725; -0.2173320; 4.5386124; 1.7902505
4.1987594; -29.4952845; 10.2398728; 0.4988928; 1.1898256; 2.9166490; -0.2132314; 4.5778758; 1.7975371
4.2987298; -29.5186093; 10.1426811; 0.4886146; 1.2025677; 2.8955382; -0.2091924; 4.6169630; 1.8066244
