# 37ef6682-6a3d-4bb2-8bfe-03e2b2157502
# 640d50d3ed8e45fe00cec3284414c1f5a85be351
# s_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0036205; 0.0588539; 0.8393209; 0.6606791; -2.0867503; 0.4080518; 3.4170304; 1.5195260
0.0998133; 0.0914713; 0.0113321; 0.8117221; 0.6999062; -2.0468457; 0.3908521; 3.4611320; 1.6233209
0.1996266; 0.1810469; -0.0326953; 0.7841234; 0.7391332; -2.0087066; 0.3732959; 3.5076335; 1.7464727
0.2994399; 0.2721792; -0.0733463; 0.7565247; 0.7783603; -1.9723334; 0.3556912; 3.5569840; 1.8932437
0.3992533; 0.3647001; -0.1107386; 0.7289259; 0.8175873; -1.9377076; 0.3382909; 3.6097198; 2.0671022
0.4990666; 0.4584415; -0.1449903; 0.7013272; 0.8568144; -1.9047958; 0.3212947; 3.6664323; 2.2048138
0.5988799; 0.5532353; -0.1762191; 0.6737284; 0.8960414; -1.8735532; 0.3048538; 3.7259717; 2.3175020
0.6986932; 0.6489147; -0.2045431; 0.6470818; 0.9317965; -1.8439230; 0.2895587; 3.7875454; 2.1709972
0.7985065; 0.7453420; -0.2300783; 0.6276685; 0.9411757; -1.8155992; 0.2782709; 3.8443321; 1.8791398
0.8983198; 0.8424281; -0.2529247; 0.6082551; 0.9505548; -1.7884150; 0.2668039; 3.8928159; 1.5590557
0.9981331; 0.9401040; -0.2731828; 0.5888417; 0.9599340; -1.7623748; 0.2552646; 3.9325875; 1.2152724
1.0979465; 1.0383010; -0.2909536; 0.5694283; 0.9693131; -1.7374761; 0.2437440; 3.9633124; 0.8537909
1.1977598; 1.1369502; -0.3063378; 0.5500150; 0.9786923; -1.7137113; 0.2323173; 3.9847565; 0.4166869
1.2975731; 1.2359829; -0.3194362; 0.5306016; 0.9880714; -1.6910680; 0.2210450; 3.9951804; -0.4907265
1.3973864; 1.3352893; -0.3303450; 0.5150611; 0.9955039; -1.6694910; 0.2142777; 3.9829015; -1.1612003
1.4971997; 1.4347025; -0.3391024; 0.5128028; 0.9962602; -1.6476897; 0.2226646; 3.9536942; -1.7184404
1.5970130; 1.5343034; -0.3456493; 0.5105446; 0.9970165; -1.6250346; 0.2313030; 3.9100705; -2.2796209
1.6968263; 1.6340328; -0.3498951; 0.5082864; 0.9977728; -1.6015050; 0.2401636; 3.8514385; -2.8391023
1.7966397; 1.7338314; -0.3517488; 0.5060282; 0.9985291; -1.5770822; 0.2492081; 3.7771441; -3.3527584
1.8964530; 1.8336399; -0.3511197; 0.5037700; 0.9992854; -1.5517507; 0.2583894; 3.6874812; -3.7496130
1.9962663; 1.9333991; -0.3479168; 0.5015118; 1.0000417; -1.5254981; 0.2676501; 3.5845495; -3.6894460
2.0960796; 2.0331731; -0.3420391; 0.5067343; 0.9941348; -1.4981594; 0.2845359; 3.4802994; -3.6043839
2.1958929; 2.1329800; -0.3332888; 0.5271070; 0.9747333; -1.4679720; 0.3182997; 3.3753448; -3.5000037
2.2957062; 2.2323537; -0.3213734; 0.5474797; 0.9553318; -1.4343614; 0.3535566; 3.2702077; -3.3853941
2.3955195; 2.3310801; -0.3059770; 0.5678525; 0.9359304; -1.3972140; 0.3901610; 3.1651926; -3.2574596
2.4953329; 2.4289450; -0.2867839; 0.5882252; 0.9165289; -1.3564323; 0.4277674; 3.0607463; -3.1271678
2.5951462; 2.5257345; -0.2634782; 0.6085979; 0.8971274; -1.3119501; 0.4657882; 2.9570090; -2.9876379
2.6949595; 2.6212345; -0.2357441; 0.6289706; 0.8777260; -1.2637489; 0.5033585; 2.8543809; -2.8310705
2.7947728; 2.7156549; -0.2031037; 0.6660093; 0.8488804; -1.2114496; 0.5479091; 2.7536037; -2.6484703
2.8945861; 2.8086110; -0.1651291; 0.7232590; 0.8085821; -1.1534772; 0.6078787; 2.6558667; -2.4293544
2.9943994; 2.8988428; -0.1216694; 0.7805087; 0.7682837; -1.0892813; 0.6750017; 2.5629405; -2.1627787
3.0942127; 2.9856129; -0.0724035; 0.8377583; 0.7279853; -1.0183255; 0.7477105; 2.4772799; -1.7439326
3.1940261; 3.0681836; -0.0170105; 0.8950080; 0.6876869; -0.9402268; 0.8229182; 2.4059885; -1.3662402
3.2938394; 3.1458178; 0.0448305; 0.9522577; 0.6473885; -0.8548683; 0.8956201; 2.3486257; -1.0285114
3.3936527; 3.2177777; 0.1134406; 1.0095073; 0.6070901; -0.7625300; 0.9588557; 2.3045009; -0.8863050
3.4934660; 3.2831896; 0.1889048; 1.0536835; 0.5835475; -0.6659815; 0.9550350; 2.2657878; -0.8447450
3.5932793; 3.3413962; 0.2707218; 1.0901142; 0.5699318; -0.5709545; 0.9412118; 2.2282640; -0.8819200
3.6930926; 3.3917130; 0.3578949; 1.1265449; 0.5563161; -0.4758456; 0.9519645; 2.1884026; -0.7150152
3.7929059; 3.4333734; 0.4493315; 1.1629756; 0.5427004; -0.3786086; 0.9866887; 2.1555440; -0.7019684
3.8927193; 3.4656108; 0.5439391; 1.1994063; 0.5290846; -0.2772442; 1.0445861; 2.1227902; -0.4972984
3.9925326; 3.4876584; 0.6406248; 1.2358370; 0.5154689; -0.1698467; 1.1237332; 2.0992771; -0.2592983
4.0923459; 3.4987498; 0.7382962; 1.2722677; 0.5018532; -0.0547266; 1.2195250; 2.0869119; 0.1540198
4.1921592; 3.4982898; 0.8354407; 1.2742580; 0.5000000; 0.0633512; 1.1819097; 2.0942655; 0.6579637
4.2919725; 3.4867246; 0.9318588; 1.2708220; 0.5000000; 0.1739399; 1.0917230; 2.1253929; 1.2380624
4.3917858; 3.4648110; 1.0272660; 1.2673860; 0.5000000; 0.2759503; 0.9910164; 2.1827609; 1.6101258
4.4915991; 3.4333016; 1.1212717; 1.2639500; 0.5000000; 0.3692303; 0.8910570; 2.2551872; 2.0146866
4.5914125; 3.3929487; 1.2134853; 1.2605140; 0.5000000; 0.4542170; 0.7990504; 2.3426596; 2.1757746
4.6912258; 3.3445048; 1.3035164; 1.2570780; 0.5000000; 0.5317043; 0.7187267; 2.4335975; 1.8899685
4.7910391; 3.2887224; 1.3909743; 1.2483562; 0.5042870; 0.6026629; 0.6514369; 2.5099173; 1.3673613
4.8908524; 3.2293069; 1.4716347; 1.1915790; 0.5475492; 0.6668126; 0.6332061; 2.5637173; 0.7386588
4.9906657; 3.1645705; 1.5487120; 1.1348019; 0.5908114; 0.7303487; 0.6313882; 2.5923161; 0.0629854
5.0904790; 3.0948802; 1.6216900; 1.0780248; 0.6340736; 0.7945718; 0.6436123; 2.5947401; -0.3309364
5.1902924; 3.0207401; 1.6898540; 1.0212477; 0.6773359; 0.8606060; 0.6698696; 2.5819784; -0.7187328
5.2901057; 2.9426545; 1.7524889; 0.9644706; 0.7205981; 0.9295879; 0.7106054; 2.5540427; -0.7083156
5.3899190; 2.8611273; 1.8088799; 0.9076935; 0.7638603; 1.0026832; 0.7665026; 2.5262097; -0.1525613
5.4897323; 2.7766627; 1.8583121; 0.8560680; 0.8047482; 1.0810850; 0.8381186; 2.5201746; 0.6355623
5.5895456; 2.6869304; 1.9014469; 0.8178086; 0.8394762; 1.1626014; 0.7535764; 2.5452221; 1.5291829
5.6893589; 2.5940595; 1.9378199; 0.7795492; 0.8742042; 1.2296423; 0.5871653; 2.6045001; 2.4954736
5.7891722; 2.4994949; 1.9686217; 0.7412898; 0.9089322; 1.2792170; 0.4086087; 2.6984410; 2.4452697
5.8889856; 2.4037041; 1.9955719; 0.7030303; 0.9436601; 1.3108593; 0.2273856; 2.7874226; 2.0193832
5.9887989; 2.3071543; 2.0203901; 0.6647709; 0.9783881; 1.3245337; 0.0473061; 2.8588193; 1.2018601
6.0886122; 2.2103131; 2.0447959; 0.6265115; 1.0131161; 1.3203335; -0.1311327; 2.9004777; 0.2113607
6.1884255; 2.1136477; 2.0705089; 0.5971391; 1.0409711; 1.2983478; -0.3081213; 2.9077421; -0.8449320
6.2882388; 2.0172422; 2.0992619; 0.5821925; 1.0576696; 1.2622935; -0.3932016; 2.8785922; -1.8768842
6.3880521; 1.9220159; 2.1318214; 0.5672458; 1.0743681; 1.2191985; -0.4641572; 2.8127597; -2.7954029
6.4878654; 1.8286982; 2.1686772; 0.5522992; 1.0910667; 1.1688180; -0.5410454; 2.7117486; -2.5629454
6.5876788; 1.7379334; 2.2103421; 0.5373525; 1.1077652; 1.1107077; -0.6233595; 2.6157118; -2.0246964
6.6874921; 1.6503659; 2.2573287; 0.5224059; 1.1244637; 1.0445051; -0.7091285; 2.5372751; -1.2922962
6.7873054; 1.5666402; 2.3101498; 0.5074592; 1.1411623; 0.9700417; -0.7944223; 2.4859180; -0.6121296
6.8871187; 1.4874007; 2.3693179; 0.5052243; 1.1378419; 0.8874803; -0.8730679; 2.4612173; 0.0198862
6.9869320; 1.4135185; 2.4348825; 0.5156531; 1.1145780; 0.8033876; -0.8232169; 2.4620237; 0.6062849
7.0867453; 1.3449088; 2.5065770; 0.5260820; 1.0913140; 0.7243007; -0.7713818; 2.4864817; 1.1446853
7.1865586; 1.2816976; 2.5836965; 0.5365108; 1.0680501; 0.6496639; -0.7266215; 2.5320152; 1.3669371
7.2863720; 1.2240284; 2.6655215; 0.5469397; 1.0447862; 0.5788049; -0.6902660; 2.5853390; 1.5458909
7.3861853; 1.1720448; 2.7513328; 0.5573685; 1.0215223; 0.5109820; -0.6630619; 2.6443485; 1.5510177
7.4859986; 1.1258903; 2.8404109; 0.5677974; 0.9982584; 0.4454126; -0.6454723; 2.7022589; 1.5926649
7.5858119; 1.0856991; 2.9320599; 0.5805958; 0.9758601; 0.3812732; -0.6364205; 2.7604604; 1.6738598
7.6856252; 1.0513292; 3.0261953; 0.5946331; 0.9539143; 0.3195884; -0.5935869; 2.8203348; 1.8014708
7.7854385; 1.0226936; 3.1219115; 0.6086704; 0.9319686; 0.2625825; -0.5469765; 2.8833852; 1.9862025
7.8852518; 0.9993555; 3.2189205; 0.6227076; 0.9100228; 0.2104014; -0.4987343; 2.9513402; 2.2452693
7.9850652; 0.9808781; 3.3169343; 0.6367449; 0.8880771; 0.1630649; -0.4504731; 3.0263220; 2.6029301
8.0848785; 0.9668246; 3.4156647; 0.6507822; 0.8661313; 0.1205035; -0.4032711; 3.1109868; 2.8937619
8.1846918; 0.9567584; 3.5148238; 0.6648195; 0.8441856; 0.0825920; -0.3577313; 3.2024851; 3.1596260
8.2845051; 0.9502396; 3.6141836; 0.6700509; 0.8364431; 0.0491587; -0.3141707; 3.2994933; 3.4103825
8.3843184; 0.9468305; 3.7137694; 0.6728505; 0.8326229; 0.0200058; -0.2706143; 3.4010968; 3.6487116
8.4841317; 0.9461059; 3.8133227; 0.6756500; 0.8288028; -0.0047025; -0.2255581; 3.5065424; 3.8731971
8.5839450; 0.9476171; 3.9128990; 0.6784496; 0.8249827; -0.0248875; -0.1797375; 3.6151117; 3.7185539
8.6837584; 0.9509152; 4.0125536; 0.6812492; 0.8211626; -0.0405132; -0.1336935; 3.7163631; 3.2625202
