# c0641086-ec99-4aa0-a894-6a502cf5f729
# 640d50d3ed8e45fe00cec3284414c1f5a85be351
# s_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0035674; 0.0593587; 0.6477347; 0.8522653; 1.0541014; -0.4076119; 2.0000000; 0.0000000
0.0998009; -0.0821927; 0.1104355; 0.6262526; 0.9096876; 1.0130387; -0.4153824; 2.0000000; 0.0000000
0.1996019; -0.1658138; 0.1650608; 0.6047705; 0.9671099; 0.9710849; -0.4249053; 2.0000000; 0.0000000
0.2994028; -0.2470458; 0.2231898; 0.5832884; 1.0245323; 0.9280941; -0.4360704; 2.0000000; 0.0000000
0.3992038; -0.3256387; 0.2847776; 0.5618063; 1.0819546; 0.8839286; -0.4487404; 2.0000000; 0.0000000
0.4990047; -0.4013422; 0.3497792; 0.5403242; 1.1393770; 0.8384608; -0.4627402; 2.0000000; 0.0000000
0.5988056; -0.4739062; 0.4181497; 0.5188420; 1.1967993; 0.7915766; -0.4778448; 2.0000000; 0.0000000
0.6986066; -0.5430892; 0.4898535; 0.5039398; 1.2411846; 0.7431901; -0.4902113; 2.0000000; 0.0000000
0.7984075; -0.6087677; 0.5648773; 0.5359978; 1.1925253; 0.6952926; -0.4704141; 2.0000000; 0.0000000
0.8982085; -0.6708643; 0.6429097; 0.5680558; 1.1438660; 0.6493585; -0.4507912; 2.0000000; 0.0000000
0.9980094; -0.7294172; 0.7236928; 0.6001138; 1.0952067; 0.6053345; -0.4317655; 2.0000000; 0.0000000
1.0978103; -0.7844649; 0.8069688; 0.6321718; 1.0465474; 0.5631423; -0.4136702; 2.0000000; 0.0000000
1.1976113; -0.8360455; 0.8924798; 0.6642298; 0.9978881; 0.5226842; -0.3967596; 2.0000000; 0.0000000
1.2974122; -0.8841975; 0.9799681; 0.6962878; 0.9492287; 0.4838476; -0.3812228; 2.0000000; 0.0000000
1.3972132; -0.9289680; 1.0691942; 0.7292633; 0.9041288; 0.4465032; -0.3670323; 2.0000000; 0.0000000
1.4970141; -0.9704359; 1.1599904; 0.7650533; 0.8699474; 0.4105833; -0.3525787; 2.0000000; 0.0000000
1.5968150; -1.0086662; 1.2521461; 0.8008433; 0.8357660; 0.3761367; -0.3378767; 2.0000000; 0.0000000
1.6966160; -1.0437658; 1.3455301; 0.8366334; 0.8015846; 0.3431635; -0.3231361; 2.0000000; 0.0000000
1.7964169; -1.0758417; 1.4400112; 0.8724234; 0.7674033; 0.3116509; -0.3085317; 2.0000000; 0.0000000
1.8962179; -1.1050006; 1.5354580; 0.9082134; 0.7332219; 0.2815756; -0.2942048; 2.0000000; 0.0000000
1.9960188; -1.1313495; 1.6317395; 0.9440035; 0.6990405; 0.2529060; -0.2802653; 2.0000000; 0.0000000
2.0958197; -1.1549868; 1.7286871; 0.9718955; 0.6698928; 0.2256298; -0.2658075; 2.0000000; 0.0000000
2.1956207; -1.1760304; 1.8261490; 0.9857060; 0.6497196; 0.1999461; -0.2493403; 2.0000000; 0.0000000
2.2954216; -1.1946491; 1.9241292; 0.9995166; 0.6295465; 0.1759014; -0.2328317; 2.0000000; 0.0000000
2.3952226; -1.2109940; 2.0225559; 1.0133271; 0.6093734; 0.1534915; -0.2163899; 2.0000000; 0.0000000
2.4950235; -1.2252160; 2.1213576; 1.0271376; 0.5892003; 0.1327059; -0.2000942; 2.0000000; 0.0000000
2.5948244; -1.2374661; 2.2204627; 1.0409481; 0.5690271; 0.1135299; -0.1839980; 2.0000000; 0.0000000
2.6946254; -1.2478954; 2.3197996; 1.0547587; 0.5488540; 0.0959458; -0.1681310; 2.0000000; 0.0000000
2.7944263; -1.2566514; 2.4192580; 1.0647039; 0.5354863; 0.0799165; -0.1536352; 2.0000000; 0.0000000
2.8942272; -1.2638758; 2.5187768; 1.0701884; 0.5299722; 0.0652325; -0.1406796; 2.0000000; 0.0000000
2.9940282; -1.2697028; 2.6183892; 1.0756730; 0.5244582; 0.0518428; -0.1276940; 2.0000000; 0.0000000
3.0938291; -1.2742605; 2.7180777; 1.0811575; 0.5189441; 0.0397478; -0.1147085; 2.0000000; 0.0000000
3.1936301; -1.2776771; 2.8178245; 1.0866421; 0.5134300; 0.0289465; -0.1017434; 2.0000000; 0.0000000
3.2934310; -1.2800808; 2.9176119; 1.0921266; 0.5079159; 0.0194366; -0.0888106; 2.0000000; 0.0000000
3.3932319; -1.2815999; 3.0174223; 1.0976112; 0.5024019; 0.0112153; -0.0759141; 2.0000000; 0.0000000
3.4930329; -1.2823627; 3.1172273; 1.1000002; 0.5000000; 0.0042932; -0.0625710; 2.0000000; 0.0000000
3.5928338; -1.2825025; 3.2170206; 1.1000002; 0.5000000; -0.0012637; -0.0487937; 2.0000000; 0.0000000
3.6926348; -1.2821563; 3.3168134; 1.1000001; 0.5000000; -0.0054452; -0.0350095; 2.0000000; 0.0000000
3.7924357; -1.2814614; 3.4166073; 1.1000001; 0.5000000; -0.0082512; -0.0212246; 2.0000000; 0.0000000
3.8922366; -1.2805551; 3.5164041; 1.1000001; 0.5000000; -0.0096816; -0.0074420; 2.0000000; 0.0000000
3.9920376; -1.2795747; 3.6162055; 1.1000000; 0.5000000; -0.0097367; 0.0063372; 2.0000000; 0.0000000
4.0918385; -1.2786573; 3.7160131; 1.1000000; 0.5000000; -0.0084167; 0.0201123; 2.0000000; 0.0000000
4.1916395; -1.2779358; 3.8158293; 1.1000000; 0.5000000; -0.0059333; 0.0271127; 2.0000000; 0.0000000
