# db823f38-494d-4476-9527-ac0273e0f72e
# a4a834fc2c8b7422de5261889f48e3ce8fe02560
# s_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0560829; 0.1386841; 0.9357589; 0.5642411; -2.2411446; 0.3152383; 5.0637447; -0.5872272
0.0995474; 0.1351686; 0.0779789; 0.8913749; 0.6195157; -2.2098046; 0.3134147; 5.0521873; -0.6187419
0.1990948; 0.2160313; 0.0198303; 0.8469908; 0.6747903; -2.1786826; 0.3114878; 5.0399810; -0.9342998
0.2986421; 0.2986019; -0.0357448; 0.8026068; 0.7300649; -2.1477777; 0.3094851; 5.0214932; -1.1341337
0.3981895; 0.3828110; -0.0887298; 0.7582228; 0.7853395; -2.1170871; 0.3074323; 4.9989593; -1.6053138
0.4977369; 0.4685896; -0.1391080; 0.7138388; 0.8406141; -2.0866064; 0.3053534; 4.9668888; -2.2070239
0.5972843; 0.5558683; -0.1868628; 0.6694547; 0.8958887; -2.0563296; 0.3032704; 4.9224565; -2.7800022
0.6968316; 0.6445706; -0.2319737; 0.6262645; 0.9477950; -2.0262311; 0.3036581; 4.8659114; -3.1512757
0.7963790; 0.7346008; -0.2743708; 0.5926244; 0.9727562; -1.9953793; 0.3164737; 4.8010094; -3.2673061
0.8959264; 0.8259370; -0.3139179; 0.5589843; 0.9977174; -1.9632166; 0.3298797; 4.7327780; -3.2202171
0.9954738; 0.9185228; -0.3504449; 0.5253442; 1.0226786; -1.9296941; 0.3437698; 4.6645535; -3.0555846
1.0950211; 1.0123016; -0.3837820; 0.4917041; 1.0476398; -1.8947713; 0.3580075; 4.5988812; -2.8280908
1.1945685; 1.1072170; -0.4137594; 0.4580640; 1.0726010; -1.8584177; 0.3724215; 4.5372514; -2.6647947
1.2941159; 1.2032123; -0.4402070; 0.4244239; 1.0975622; -1.8206154; 0.3868034; 4.4784042; -2.5735261
1.3936633; 1.2999954; -0.4629051; 0.3967703; 1.1180458; -1.7815054; 0.3980454; 4.4208289; -2.5641899
1.4932106; 1.3972448; -0.4816991; 0.3897457; 1.1230998; -1.7417995; 0.4036971; 4.3627069; -2.6490240
1.5927580; 1.4953029; -0.4966079; 0.3827212; 1.1281539; -1.7014652; 0.4095916; 4.3018374; -2.8446014
1.6923054; 1.5940476; -0.5075360; 0.3756966; 1.1332079; -1.6604720; 0.4156050; 4.2354999; -3.1362167
1.7918528; 1.6933567; -0.5143881; 0.3686720; 1.1382620; -1.6187983; 0.4215988; 4.1611363; -3.4473878
1.8914001; 1.7931082; -0.5170688; 0.3616474; 1.1433160; -1.5764321; 0.4274206; 4.0778301; -3.6847961
1.9909475; 1.8931800; -0.5154827; 0.3546228; 1.1483701; -1.5333725; 0.4329052; 3.9868628; -3.8338639
2.0904949; 1.9929898; -0.5095681; 0.3586189; 1.1433210; -1.4895805; 0.4492312; 3.8899579; -3.8779093
2.1900423; 2.0921622; -0.4992019; 0.3838262; 1.1188264; -1.4431618; 0.4824837; 3.7894197; -3.7928894
2.2895897; 2.1908006; -0.4840599; 0.4090336; 1.0943319; -1.3931614; 0.5202116; 3.6884356; -3.4940580
2.3891370; 2.2884489; -0.4638326; 0.4342410; 1.0698374; -1.3392238; 0.5620788; 3.5928969; -3.1216860
2.4886844; 2.3846509; -0.4382105; 0.4594484; 1.0453429; -1.2810271; 0.6073955; 3.5053384; -2.5307581
2.5882318; 2.4789502; -0.4068840; 0.4846557; 1.0208484; -1.2183112; 0.6549722; 3.4327156; -1.9858760
2.6877792; 2.5708906; -0.3695436; 0.5098631; 0.9963539; -1.1509153; 0.7029836; 3.3746346; -1.4891204
2.7873265; 2.6600323; -0.3258828; 0.5560848; 0.9572363; -1.0794387; 0.7240172; 3.3304178; -1.1321965
2.8868739; 2.7459102; -0.2758767; 0.6256581; 0.9018690; -1.0075828; 0.7225708; 3.2964024; -0.8993619
2.9864213; 2.8280372; -0.2197889; 0.6952315; 0.8465018; -0.9355907; 0.7256323; 3.2691299; -0.8477573
3.0859687; 2.9059429; -0.1578875; 0.7648049; 0.7911345; -0.8630392; 0.7329979; 3.2432123; -0.8244794
3.1855160; 2.9791571; -0.0904405; 0.8343782; 0.7357673; -0.7895245; 0.7442755; 3.2178062; -1.1084825
3.2850634; 3.0472094; -0.0177159; 0.9039516; 0.6804001; -0.7146760; 0.7588542; 3.1833290; -1.4702448
3.3846108; 3.1096296; 0.0600181; 0.9735249; 0.6250328; -0.6381720; 0.7758655; 3.1370154; -1.8694760
3.4841582; 3.1662856; 0.1430295; 1.0399028; 0.5810042; -0.5593664; 0.7911098; 3.0771192; -2.1987195
3.5837055; 3.2164039; 0.2307622; 1.1044566; 0.5434476; -0.4782303; 0.8173477; 3.0051471; -2.4680442
3.6832529; 3.2589638; 0.3220122; 1.1690105; 0.5058911; -0.3938780; 0.8605067; 2.9222482; -2.2365075
3.7828003; 3.2932594; 0.4159961; 1.2335644; 0.4683345; -0.3049207; 0.9199337; 2.8450409; -2.0075161
3.8823477; 3.3185847; 0.5119304; 1.2981182; 0.4307779; -0.2100492; 0.9940080; 2.7739091; -1.4028657
3.9818950; 3.3342337; 0.6090316; 1.3626721; 0.3932213; -0.1081287; 1.0791256; 2.7230991; -0.6467907
4.0814424; 3.3395005; 0.7065165; 1.4272259; 0.3556647; 0.0016401; 1.1685136; 2.6993510; 0.1746548
