# x_m,y_m,w_tr_right_m,w_tr_left_m
0.1172,7.1690,0.8515,0.8515
0.1672,7.1636,0.8559,0.8559
0.2172,7.1609,0.8631,0.8631
0.2672,7.1603,0.8732,0.8732
0.3172,7.1613,0.8860,0.8860
0.3672,7.1633,0.9014,0.9014
0.4172,7.1656,0.9192,0.9192
0.4672,7.1678,0.9341,0.9341
0.5207,7.1720,0.9220,0.9220
0.5713,7.1742,0.9124,0.9124
0.6229,7.1725,0.9055,0.9055
0.6731,7.1652,0.9014,0.9014
0.7163,7.1513,0.9000,0.9000
0.7573,7.1301,0.9000,0.9000
0.7946,7.1013,0.9055,0.9055
0.8271,7.0652,0.9014,0.9014
0.8541,7.0225,0.8500,0.8500
0.8753,6.9742,0.8500,0.8500
0.8910,6.9220,0.8500,0.8500
0.9019,6.8678,0.8016,0.8016
0.9090,6.8143,0.8062,0.8062
0.9140,6.7643,0.8139,0.8139
0.9155,6.7143,0.8246,0.8246
0.9153,6.6643,0.8382,0.8382
0.9191,6.6143,0.8500,0.8500
0.9224,6.5643,0.8276,0.8276
0.9244,6.5143,0.8078,0.8078
0.9311,6.4643,0.7906,0.7906
0.9384,6.4143,0.7762,0.7762
0.9459,6.3643,0.8000,0.8000
0.9533,6.3143,0.8000,0.8000
0.9599,6.2643,0.8000,0.8000
0.9655,6.2143,0.8000,0.8000
0.9694,6.1643,0.8000,0.8000
0.9713,6.1143,0.8000,0.8000
0.9707,6.0643,0.8000,0.8000
0.9672,6.0143,0.8000,0.8000
0.9672,5.9643,0.8000,0.8000
0.9672,5.9143,0.8000,0.8000
0.9672,5.8643,0.8000,0.8000
0.9672,5.8143,0.8000,0.8000
0.9672,5.7643,0.8000,0.8000
0.9707,5.7143,0.8000,0.8000
0.9713,5.6643,0.8000,0.8000
0.9694,5.6143,0.8000,0.8000
0.9655,5.5643,0.8000,0.8000
0.9599,5.5143,0.8000,0.8000
0.9533,5.4643,0.8000,0.8000
0.9459,5.4143,0.8000,0.8000
0.9384,5.3643,0.7500,0.7500
0.9311,5.3143,0.7500,0.7500
0.9244,5.2643,0.7500,0.7500
0.9189,5.2143,0.7500,0.7500
0.9150,5.1643,0.7500,0.7500
0.9131,5.1143,0.7500,0.7500
0.9136,5.0643,0.7500,0.7500
0.9172,5.0143,0.7500,0.7500
0.9172,4.9643,0.7500,0.7500
0.9172,4.9143,0.7500,0.7500
0.9172,4.8643,0.7500,0.7500
0.9172,4.8143,0.7500,0.7500
0.9172,4.7643,0.7500,0.7500
0.9172,4.7143,0.7500,0.7500
0.9172,4.6643,0.7500,0.7500
0.9172,4.6143,0.7500,0.7500
0.9172,4.5643,0.7500,0.7500
0.9172,4.5143,0.7500,0.7500
0.9172,4.4643,0.7500,0.7500
0.9172,4.4143,0.7500,0.7500
0.9172,4.3643,0.7500,0.7500
0.9172,4.3143,0.7500,0.7500
0.9172,4.2643,0.7500,0.7500
0.9172,4.2143,0.7500,0.7500
0.9172,4.1643,0.7500,0.7500
0.9172,4.1143,0.7500,0.7500
0.9172,4.0643,0.7500,0.7500
0.9172,4.0143,0.7500,0.7500
0.9172,3.9643,0.7500,0.7500
0.9172,3.9143,0.7500,0.7500
0.9172,3.8643,0.7500,0.7500
0.9172,3.8143,0.7500,0.7500
0.9172,3.7643,0.7500,0.7500
0.9172,3.7143,0.7500,0.7500
0.9172,3.6643,0.7500,0.7500
0.9172,3.6143,0.7500,0.7500
0.9172,3.5643,0.7500,0.7500
0.9172,3.5143,0.7500,0.7500
0.9172,3.4643,0.7500,0.7500
0.9172,3.4143,0.7500,0.7500
0.9172,3.3643,0.7500,0.7500
0.9172,3.3143,0.7500,0.7500
0.9172,3.2643,0.7500,0.7500
0.9172,3.2143,0.7500,0.7500
0.9172,3.1643,0.7500,0.7500
0.9172,3.1143,0.7500,0.7500
0.9172,3.0643,0.7500,0.7500
0.9136,3.0143,0.7500,0.7500
0.9131,2.9643,0.7500,0.7500
0.9150,2.9143,0.7500,0.7500
0.9189,2.8643,0.7500,0.7500
0.9244,2.8143,0.7500,0.7500
0.9311,2.7643,0.7500,0.7500
0.9384,2.7143,0.7500,0.7500
0.9424,2.6643,0.8000,0.8000
0.9492,2.6143,0.8000,0.8000
0.9577,2.5643,0.8000,0.8000
0.9672,2.5143,0.8000,0.8000
0.9731,2.4643,0.8000,0.8000
0.9811,2.4143,0.8000,0.8000
0.9862,2.3643,0.8000,0.8000
0.9900,2.3108,0.8500,0.8500
1.0007,2.2602,0.8500,0.8500
1.0157,2.2086,0.8500,0.8500
1.0358,2.1584,0.8500,0.8500
1.0612,2.1117,0.9000,0.9000
1.0916,2.0736,0.9000,0.9000
1.1264,2.0387,0.9487,0.9487
1.1645,2.0083,0.9500,0.9500
1.2112,1.9864,0.9000,0.9000
1.2614,1.9669,0.9000,0.9000
1.3131,1.9500,0.9000,0.9000
1.3636,1.9354,0.9000,0.9000
1.4172,1.9225,0.8500,0.8500
1.4672,1.9102,0.8500,0.8500
1.5172,1.8968,0.8500,0.8500
1.5672,1.8873,0.8000,0.8000
1.6172,1.8760,0.8000,0.8000
1.6672,1.8674,0.8000,0.8000
1.7172,1.8625,0.8000,0.8000
1.7672,1.8621,0.8000,0.8000
1.8172,1.8602,0.8000,0.8000
1.8672,1.8608,0.8000,0.8000
1.9172,1.8643,0.8000,0.8000
1.9672,1.8643,0.8000,0.8000
2.0172,1.8643,0.8000,0.8000
2.0672,1.8643,0.8000,0.8000
2.1172,1.8643,0.8000,0.8000
2.1672,1.8643,0.8000,0.8000
2.2172,1.8643,0.8000,0.8000
2.2672,1.8643,0.8000,0.8000
2.3172,1.8643,0.8000,0.8000
2.3672,1.8643,0.8000,0.8000
2.4172,1.8643,0.8000,0.8000
2.4672,1.8643,0.8000,0.8000
2.5172,1.8643,0.8000,0.8000
2.5672,1.8643,0.8000,0.8000
2.6172,1.8643,0.8000,0.8000
2.6672,1.8643,0.8000,0.8000
2.7172,1.8643,0.8000,0.8000
2.7672,1.8643,0.8016,0.8016
2.8172,1.8643,0.8062,0.8062
2.8672,1.8643,0.8139,0.8139
2.9172,1.8643,0.8246,0.8246
2.9672,1.8643,0.8382,0.8382
3.0172,1.8643,0.8500,0.8500
3.0672,1.8643,0.8500,0.8500
3.1172,1.8678,0.8500,0.8500
3.1672,1.8684,0.8500,0.8500
3.2172,1.8665,0.8500,0.8500
3.2672,1.8661,0.8500,0.8500
3.3172,1.8612,0.8500,0.8500
3.3672,1.8526,0.8500,0.8500
3.4172,1.8449,0.8500,0.8500
3.4672,1.8359,0.9000,0.9000
3.5207,1.8242,0.9000,0.9000
3.5713,1.8085,0.9000,0.9000
3.6229,1.7882,0.9500,0.9500
3.6731,1.7630,0.9500,0.9500
3.7198,1.7332,0.9500,0.9500
3.7614,1.6995,0.9962,0.9962
3.7969,1.6630,0.9500,0.9500
3.8254,1.6183,0.9500,0.9500
3.8469,1.5706,0.9000,0.9000
3.8614,1.5220,0.9000,0.9000
3.8698,1.4678,0.9000,0.9000
3.8731,1.4143,0.9000,0.9000
3.8729,1.3643,0.9000,0.9000
3.8713,1.3143,0.9000,0.9000
3.8707,1.2643,0.9000,0.9000
3.8672,1.2143,0.9000,0.9000
3.8672,1.1643,0.9000,0.9000
3.8672,1.1143,0.9000,0.9000
3.8672,1.0643,0.9000,0.9000
3.8672,1.0143,0.9000,0.9000
3.8672,0.9643,0.9000,0.9000
3.8672,0.9143,0.9000,0.9000
3.8672,0.8643,0.9000,0.9000
3.8672,0.8143,0.9000,0.9000
3.8672,0.7643,0.9000,0.9000
3.8672,0.7143,0.9000,0.9000
3.8672,0.6643,0.9000,0.9000
3.8672,0.6143,0.9000,0.9000
3.8672,0.5643,0.9000,0.9000
3.8707,0.5143,0.9000,0.9000
3.8713,0.4643,0.9000,0.9000
3.8729,0.4143,0.9000,0.9000
3.8731,0.3608,0.9000,0.9000
3.8698,0.3102,0.9000,0.9000
3.8614,0.2586,0.9000,0.9000
3.8469,0.2084,0.9000,0.9000
3.8254,0.1617,0.9500,0.9500
3.7969,0.1201,0.9500,0.9500
3.7614,0.0882,0.9000,0.9000
3.7198,0.0602,0.9000,0.9000
3.6731,0.0368,0.8500,0.8500
3.6229,0.0183,0.8500,0.8500
3.5713,0.0080,0.8500,0.8500
3.5207,-0.0014,0.8500,0.8500
3.4672,-0.0104,0.8500,0.8500
3.4172,-0.0203,0.8000,0.8000
3.3672,-0.0326,0.8000,0.8000
3.3172,-0.0423,0.8000,0.8000
3.2672,-0.0552,0.8000,0.8000
3.2172,-0.0667,0.7500,0.7500
3.1672,-0.0759,0.7500,0.7500
3.1172,-0.0820,0.7500,0.7500
3.0672,-0.0840,0.7500,0.7500
3.0172,-0.0879,0.7517,0.7517
2.9672,-0.0898,0.7566,0.7566
2.9172,-0.0892,0.7649,0.7649
2.8672,-0.0857,0.7762,0.7762
2.8172,-0.0857,0.7906,0.7906
2.7672,-0.0857,0.8000,0.8000
2.7172,-0.0857,0.8000,0.8000
2.6672,-0.0857,0.8000,0.8000
2.6172,-0.0857,0.8000,0.8000
2.5672,-0.0857,0.8000,0.8000
2.5172,-0.0857,0.7906,0.7906
2.4672,-0.0857,0.7762,0.7762
2.4172,-0.0857,0.7649,0.7649
2.3672,-0.0857,0.7566,0.7566
2.3172,-0.0857,0.7517,0.7517
2.2672,-0.0857,0.7500,0.7500
2.2172,-0.0857,0.7500,0.7500
2.1672,-0.0857,0.7500,0.7500
2.1172,-0.0857,0.7500,0.7500
2.0672,-0.0857,0.7500,0.7500
2.0172,-0.0857,0.7500,0.7500
1.9672,-0.0857,0.7500,0.7500
1.9172,-0.0857,0.7500,0.7500
1.8672,-0.0857,0.7500,0.7500
1.8172,-0.0857,0.7500,0.7500
1.7672,-0.0857,0.7500,0.7500
1.7172,-0.0857,0.7500,0.7500
1.6672,-0.0857,0.7500,0.7500
1.6172,-0.0857,0.7500,0.7500
1.5672,-0.0857,0.7500,0.7500
1.5172,-0.0857,0.7500,0.7500
1.4672,-0.0857,0.7500,0.7500
1.4172,-0.0857,0.7500,0.7500
1.3672,-0.0857,0.7500,0.7500
1.3172,-0.0857,0.7500,0.7500
1.2672,-0.0857,0.7500,0.7500
1.2172,-0.0857,0.7500,0.7500
1.1672,-0.0857,0.7500,0.7500
1.1172,-0.0857,0.7500,0.7500
1.0672,-0.0857,0.7500,0.7500
1.0172,-0.0857,0.7500,0.7500
0.9672,-0.0892,0.7500,0.7500
0.9172,-0.0898,0.7500,0.7500
0.8672,-0.0879,0.7500,0.7500
0.8172,-0.0840,0.7500,0.7500
0.7672,-0.0784,0.7500,0.7500
0.7172,-0.0718,0.7500,0.7500
0.6672,-0.0645,0.7500,0.7500
0.6172,-0.0569,0.8000,0.8000
0.5672,-0.0496,0.8000,0.8000
0.5172,-0.0429,0.8000,0.8000
0.4672,-0.0374,0.8000,0.8000
0.4172,-0.0335,0.8000,0.8000
0.3672,-0.0316,0.7906,0.7906
0.3172,-0.0322,0.7762,0.7762
0.2672,-0.0357,0.7649,0.7649
0.2172,-0.0357,0.7566,0.7566
0.1672,-0.0357,0.7517,0.7517
0.1172,-0.0392,0.7500,0.7500
0.0672,-0.0398,0.7500,0.7500
0.0172,-0.0379,0.7500,0.7500
-0.0328,-0.0340,0.7500,0.7500
-0.0828,-0.0284,0.7500,0.7500
-0.1328,-0.0218,0.7500,0.7500
-0.1828,-0.0145,0.7517,0.7517
-0.2328,-0.0104,0.8062,0.8062
-0.2828,-0.0037,0.8139,0.8139
-0.3328,0.0049,0.8246,0.8246
-0.3828,0.0143,0.8382,0.8382
-0.4328,0.0238,0.8500,0.8500
-0.4828,0.0323,0.8500,0.8500
-0.5328,0.0355,0.8500,0.8500
-0.5864,0.0354,0.9000,0.9000
-0.6405,0.0406,0.9000,0.9000
-0.6927,0.0489,0.9000,0.9000
-0.7374,0.0617,0.9000,0.9000
-0.7796,0.0795,0.9000,0.9000
-0.8176,0.1026,0.9000,0.9000
-0.8503,0.1308,0.9500,0.9500
-0.8771,0.1634,0.9487,0.9487
-0.8941,0.2062,0.9341,0.9341
-0.9081,0.2545,0.9220,0.9220
-0.9193,0.3067,0.8631,0.8631
-0.9283,0.3608,0.8559,0.8559
-0.9364,0.4143,0.8515,0.8515
-0.9450,0.4643,0.8500,0.8500
-0.9563,0.5143,0.8500,0.8500
-0.9657,0.5643,0.8000,0.8000
-0.9725,0.6143,0.8000,0.8000
-0.9756,0.6643,0.8000,0.8000
-0.9811,0.7143,0.8000,0.8000
-0.9850,0.7643,0.8000,0.8000
-0.9869,0.8143,0.8000,0.8000
-0.9864,0.8643,0.8000,0.8000
-0.9828,0.9143,0.8016,0.8016
-0.9828,0.9643,0.8062,0.8062
-0.9828,1.0143,0.8139,0.8139
-0.9828,1.0643,0.8246,0.8246
-0.9828,1.1143,0.8382,0.8382
-0.9828,1.1643,0.8500,0.8500
-0.9828,1.2143,0.8500,0.8500
-0.9828,1.2643,0.8500,0.8500
-0.9828,1.3143,0.8500,0.8500
-0.9828,1.3643,0.8382,0.8382
-0.9828,1.4143,0.8246,0.8246
-0.9828,1.4643,0.8139,0.8139
-0.9828,1.5143,0.8062,0.8062
-0.9828,1.5643,0.8016,0.8016
-0.9828,1.6143,0.8000,0.8000
-0.9828,1.6643,0.8000,0.8000
-0.9828,1.7143,0.8000,0.8000
-0.9828,1.7643,0.8000,0.8000
-0.9828,1.8143,0.8000,0.8000
-0.9828,1.8643,0.8000,0.8000
-0.9828,1.9143,0.8000,0.8000
-0.9828,1.9643,0.8000,0.8000
-0.9828,2.0143,0.8000,0.8000
-0.9828,2.0643,0.8000,0.8000
-0.9828,2.1143,0.8000,0.8000
-0.9828,2.1643,0.8000,0.8000
-0.9828,2.2143,0.8000,0.8000
-0.9828,2.2643,0.8000,0.8000
-0.9828,2.3143,0.8000,0.8000
-0.9828,2.3643,0.8000,0.8000
-0.9828,2.4143,0.8000,0.8000
-0.9828,2.4643,0.8000,0.8000
-0.9828,2.5143,0.8000,0.8000
-0.9828,2.5643,0.8000,0.8000
-0.9828,2.6143,0.8000,0.8000
-0.9828,2.6643,0.8000,0.8000
-0.9828,2.7143,0.8000,0.8000
-0.9828,2.7643,0.8000,0.8000
-0.9828,2.8143,0.8000,0.8000
-0.9828,2.8643,0.8000,0.8000
-0.9828,2.9143,0.8000,0.8000
-0.9828,2.9643,0.8000,0.8000
-0.9828,3.0143,0.8000,0.8000
-0.9828,3.0643,0.8000,0.8000
-0.9828,3.1143,0.8000,0.8000
-0.9828,3.1643,0.8000,0.8000
-0.9828,3.2143,0.8000,0.8000
-0.9828,3.2643,0.8000,0.8000
-0.9828,3.3143,0.8000,0.8000
-0.9828,3.3643,0.8000,0.8000
-0.9828,3.4143,0.8000,0.8000
-0.9828,3.4643,0.8000,0.8000
-0.9828,3.5143,0.8000,0.8000
-0.9828,3.5643,0.8000,0.8000
-0.9828,3.6143,0.8000,0.8000
-0.9828,3.6643,0.8000,0.8000
-0.9828,3.7143,0.8000,0.8000
-0.9828,3.7643,0.8000,0.8000
-0.9828,3.8143,0.8000,0.8000
-0.9828,3.8643,0.8000,0.8000
-0.9828,3.9143,0.8000,0.8000
-0.9828,3.9643,0.8000,0.8000
-0.9828,4.0143,0.8000,0.8000
-0.9828,4.0643,0.8000,0.8000
-0.9828,4.1143,0.8000,0.8000
-0.9828,4.1643,0.8000,0.8000
-0.9828,4.2143,0.8000,0.8000
-0.9828,4.2643,0.8000,0.8000
-0.9828,4.3143,0.8000,0.8000
-0.9828,4.3643,0.8000,0.8000
-0.9828,4.4143,0.8000,0.8000
-0.9828,4.4643,0.8000,0.8000
-0.9828,4.5143,0.8000,0.8000
-0.9828,4.5643,0.8000,0.8000
-0.9828,4.6143,0.8000,0.8000
-0.9828,4.6643,0.8000,0.8000
-0.9828,4.7143,0.8000,0.8000
-0.9828,4.7643,0.8000,0.8000
-0.9828,4.8143,0.8000,0.8000
-0.9828,4.8643,0.8000,0.8000
-0.9828,4.9143,0.8000,0.8000
-0.9828,4.9643,0.8000,0.8000
-0.9828,5.0143,0.8000,0.8000
-0.9828,5.0643,0.8000,0.8000
-0.9828,5.1143,0.8000,0.8000
-0.9828,5.1643,0.8000,0.8000
-0.9828,5.2143,0.8000,0.8000
-0.9828,5.2643,0.8000,0.8000
-0.9828,5.3143,0.8000,0.8000
-0.9828,5.3643,0.8000,0.8000
-0.9828,5.4143,0.8000,0.8000
-0.9828,5.4643,0.8000,0.8000
-0.9828,5.5143,0.8000,0.8000
-0.9828,5.5643,0.8000,0.8000
-0.9828,5.6143,0.8000,0.8000
-0.9828,5.6643,0.8000,0.8000
-0.9828,5.7143,0.8000,0.8000
-0.9828,5.7643,0.8000,0.8000
-0.9828,5.8143,0.8000,0.8000
-0.9828,5.8643,0.8000,0.8000
-0.9828,5.9143,0.8000,0.8000
-0.9828,5.9643,0.8000,0.8000
-0.9828,6.0143,0.8000,0.8000
-0.9828,6.0643,0.8000,0.8000
-0.9828,6.1143,0.8000,0.8000
-0.9828,6.1643,0.8000,0.8000
-0.9828,6.2143,0.8000,0.8000
-0.9828,6.2643,0.8000,0.8000
-0.9828,6.3143,0.8000,0.8000
-0.9828,6.3643,0.8000,0.8000
-0.9864,6.4143,0.8000,0.8000
-0.9869,6.4643,0.8000,0.8000
-0.9850,6.5143,0.8000,0.8000
-0.9811,6.5643,0.8000,0.8000
-0.9756,6.6143,0.8000,0.8000
-0.9725,6.6643,0.8000,0.8000
-0.9657,6.7143,0.8000,0.8000
-0.9598,6.7643,0.8500,0.8500
-0.9526,6.8143,0.8500,0.8500
-0.9427,6.8678,0.8500,0.8500
-0.9288,6.9184,0.8500,0.8500
-0.9103,6.9701,0.8500,0.8500
-0.8869,7.0202,0.9000,0.9000
-0.8590,7.0669,0.9000,0.9000
-0.8271,7.1086,0.9500,0.9500
-0.7855,7.1440,0.9500,0.9500
-0.7388,7.1725,0.9500,0.9500
-0.6886,7.1940,0.9000,0.9000
-0.6369,7.2086,0.9000,0.9000
-0.5864,7.2169,0.9000,0.9000
-0.5328,7.2202,0.9000,0.9000
-0.4828,7.2201,0.9000,0.9000
-0.4328,7.2184,0.9000,0.9000
-0.3828,7.2178,0.9000,0.9000
-0.3328,7.2143,0.9000,0.9000
-0.2828,7.2143,0.9000,0.9000
-0.2328,7.2143,0.9000,0.9000
-0.1828,7.2143,0.9000,0.9000
-0.1328,7.2143,0.9000,0.9000
-0.0828,7.2143,0.9000,0.9000
-0.0328,7.2143,0.9000,0.9000
0.0172,7.2143,0.9000,0.9000
0.0672,7.2143,0.9000,0.9000
