# f5f8e818-d099-449b-a8f0-bf38becb6b74
# 640d50d3ed8e45fe00cec3284414c1f5a85be351
# s_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.1148858; 6.3953286; 0.3305170; 1.8708829; -1.6466530; 0.3770252; 1.6759116; -3.9886522
0.0996000; -0.0164357; 6.3957907; 0.3226528; 1.8874103; -1.4615623; 0.4612341; 1.4192039; -0.0402298
0.1992001; 0.0616421; 6.4009683; 0.3147886; 1.9039377; -1.5859678; -2.4923658; 1.4163778; -0.0402298
0.2988001; 0.1711513; 6.3838919; 0.3069244; 1.9204651; -1.8602450; -2.2746077; 1.4135460; 0.4150094
0.3984002; 0.2611126; 6.3469400; 0.3000000; 1.9291142; -2.0473232; -1.5142908; 1.4424916; 1.8073638
0.4980002; 0.3403585; 6.2994919; 0.3000000; 1.8797131; -2.1678006; -1.1528943; 1.5623089; 2.1370583
0.5976003; 0.4218081; 6.2371827; 0.3000000; 1.8303119; -2.2774888; -1.0118851; 1.6930775; 2.0419362
0.6972003; 0.5017153; 6.1609842; 0.3000000; 1.7809107; -2.3868738; -0.9827178; 1.8092168; 1.7176638
0.7968003; 0.5679137; 6.0831087; 0.3022409; 1.7256206; -2.4863868; -0.9345442; 1.9014268; 1.5487246
0.8964004; 0.6230493; 6.0044907; 0.3219582; 1.6244040; -2.5724312; -0.8620354; 1.9808912; 1.5387449
0.9960004; 0.6727579; 5.9191561; 0.3416756; 1.5231875; -2.6550498; -0.8146207; 2.0568053; 1.4689540
1.0956005; 0.7163684; 5.8279171; 0.3613929; 1.4219709; -2.7359260; -0.7876313; 2.1267496; 1.3467902
1.1952005; 0.7532097; 5.7315862; 0.3811102; 1.3207544; -2.8165215; -0.7774150; 2.1889140; 1.1790535
1.2948006; 0.7817053; 5.6346536; 0.4103756; 1.2402702; -2.8941602; -0.7328098; 2.2419216; 1.2159492
1.3944006; 0.8023375; 5.5394316; 0.4533446; 1.1895418; -2.9606641; -0.6338078; 2.2953060; 1.5551780
1.4940006; 0.8172091; 5.4417843; 0.4963136; 1.1388135; -3.0187771; -0.5446544; 2.3618258; 1.8499345
1.5936007; 0.8268875; 5.3422583; 0.5392826; 1.0880851; -3.0692156; -0.4659059; 2.4385914; 2.1101315
1.6932007; 0.8319400; 5.2413999; 0.5822516; 1.0373567; -3.1127017; -0.3968895; 2.5233047; 2.3452964
1.7928008; 0.8329340; 5.1397558; 0.6246271; 0.9873562; 3.1332849; -0.3362963; 2.6142398; 2.5646169
1.8924008; 0.8305433; 5.0403219; 0.6384704; 0.9723531; 3.1028834; -0.2733251; 2.7101885; 2.8450989
1.9920009; 0.8254743; 4.9413689; 0.6523137; 0.9573501; 3.0790044; -0.2087767; 2.8128039; 3.1895262
2.0916009; 0.8183340; 4.8422349; 0.6661570; 0.9423470; 3.0614341; -0.1449698; 2.9235628; 3.5895102
2.1912009; 0.8097351; 4.7428866; 0.6800003; 0.9273439; 3.0501186; -0.0821895; 3.0433945; 4.0529995
2.2908010; 0.8002901; 4.6432909; 0.6938436; 0.9123408; 3.0449938; -0.0204625; 3.1732646; 4.5920200
2.3904010; 0.7906115; 4.5434147; 0.7028343; 0.9022439; 3.0459990; 0.0403244; 3.3142629; 4.3367891
2.4900011; 0.7813970; 4.4443472; 0.6910905; 0.9131107; 3.0525314; 0.0908211; 3.4421255; -0.4146776
2.5896011; 0.7730670; 4.3450580; 0.6793466; 0.9239774; 3.0640894; 0.1412061; 3.4301055; -3.0825982
2.6892012; 0.7661317; 4.2456065; 0.6676027; 0.9348442; 3.0806939; 0.1919936; 3.3393967; -2.6259469
2.7888012; 0.7611026; 4.1460656; 0.6558589; 0.9457110; 3.1023867; 0.2434206; 3.2601351; -2.1926868
