# 685d69f6-645f-4a2d-b98e-7e53e4e436fc
# 640d50d3ed8e45fe00cec3284414c1f5a85be351
# s_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -62.2897157; 54.0056073; 1.3402960; 0.7463040; -1.7079702; -0.0025300; 8.6279349; 3.3188569
0.0999911; -62.1905350; 53.9919035; 1.3264017; 0.7601983; -1.7082225; -0.0025106; 8.6663125; 3.3053238
0.1999822; -62.0913980; 53.9781804; 1.3125075; 0.7740925; -1.7084728; -0.0024912; 8.7043655; 3.2918821
0.2999734; -61.9923045; 53.9644382; 1.2986132; 0.7879868; -1.7087211; -0.0024717; 8.7420991; 3.2785311
0.3999645; -61.8932544; 53.9506770; 1.2847189; 0.8018811; -1.7089673; -0.0024521; 8.7795185; 3.2652706
0.4999556; -61.7942473; 53.9368970; 1.2708246; 0.8157754; -1.7092114; -0.0024325; 8.8166286; 3.2521000
0.5999467; -61.6952830; 53.9230985; 1.2569303; 0.8296697; -1.7094535; -0.0024128; 8.8534345; 3.2390188
0.6999378; -61.5963614; 53.9092816; 1.2430361; 0.8435639; -1.7096935; -0.0023931; 8.8899409; 3.2260267
0.7999290; -61.4973537; 53.8954285; 1.2290537; 0.8575463; -1.7099316; -0.0023691; 8.9261524; 3.2134558
0.8999201; -61.3982360; 53.8815361; 1.2149931; 0.8716069; -1.7101673; -0.0023400; 8.9620774; 3.2013823
0.9999112; -61.2991582; 53.8676257; 1.2009326; 0.8856674; -1.7104000; -0.0023107; 8.9977247; 3.1894178
1.0999023; -61.2001187; 53.8536972; 1.1868721; 0.8997279; -1.7106296; -0.0022812; 9.0330990; 3.1775616
1.1998934; -61.1011156; 53.8397509; 1.1728115; 0.9137885; -1.7108562; -0.0022515; 9.0682045; 3.1658131
1.2998846; -61.0021472; 53.8257867; 1.1587510; 0.9278490; -1.7110797; -0.0022215; 9.1030456; 3.1541716
1.3998757; -60.9032117; 53.8118048; 1.1446904; 0.9419096; -1.7113002; -0.0021914; 9.1376265; 3.1426366
1.4998668; -60.8043074; 53.7978052; 1.1310868; 0.9555132; -1.7115176; -0.0021611; 9.1719512; 3.1312072
1.5998579; -60.7052414; 53.7837609; 1.1246833; 0.9619167; -1.7117327; -0.0021406; 9.2060239; 3.1190307
1.6998490; -60.6061913; 53.7696972; 1.1182798; 0.9683202; -1.7119459; -0.0021207; 9.2398391; 3.1068884
1.7998402; -60.5071684; 53.7556159; 1.1118762; 0.9747238; -1.7121570; -0.0021007; 9.2734001; 3.0948349
1.8998313; -60.4081716; 53.7415171; 1.1054727; 0.9811273; -1.7123661; -0.0020805; 9.3067105; 3.0828698
1.9998224; -60.3091999; 53.7274009; 1.0990692; 0.9875308; -1.7125730; -0.0020602; 9.3397741; 3.0709927
2.0998135; -60.2102520; 53.7132672; 1.0926657; 0.9939343; -1.7127780; -0.0020398; 9.3725943; 3.0592029
2.1998046; -60.1113269; 53.6991163; 1.0862621; 1.0003379; -1.7129808; -0.0020193; 9.4051746; 3.0475001
2.2997958; -60.0123640; 53.6849395; 1.0814962; 0.9993597; -1.7131817; -0.0020006; 9.4375185; 3.0357186
2.3997869; -59.9133445; 53.6707345; 1.0778772; 0.9932118; -1.7133810; -0.0019841; 9.4696275; 3.0238042
2.4997780; -59.8143444; 53.6565121; 1.0742583; 0.9870638; -1.7135786; -0.0019676; 9.5015027; 3.0119712
2.5997691; -59.7153627; 53.6422726; 1.0706393; 0.9809159; -1.7137745; -0.0019509; 9.5331471; 3.0002192
2.6997602; -59.6163983; 53.6280158; 1.0670203; 0.9747679; -1.7139687; -0.0019342; 9.5645640; 2.9885476
