# b82278b7-61ff-41f6-9dfc-b754a8f05fa7
# 640d50d3ed8e45fe00cec3284414c1f5a85be351
# s_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.5152867; 6.3724635; 1.5814019; 0.5000000; 1.7713551; 1.1503854; 2.0000000; 0.0000000
0.0996825; -0.6110375; 6.3473587; 1.4652766; 0.5397724; 1.8820189; 1.0867132; 2.0000000; 0.0000000
0.1993650; -0.7039882; 6.3119004; 1.3491514; 0.5795448; 1.9876472; 1.0387785; 2.0000000; 0.0000000
0.2990474; -0.7931162; 6.2668305; 1.2330261; 0.6193173; 2.0898123; 1.0094414; 2.0000000; 0.0000000
0.3987299; -0.8773990; 6.2128910; 1.1169008; 0.6590897; 2.1902236; 1.0000084; 2.0000000; 0.0000000
0.4984124; -0.9558141; 6.1508239; 1.0007755; 0.6988621; 2.2906488; 1.0109285; 2.0000000; 0.0000000
0.5980949; -1.0273389; 6.0813711; 0.8846502; 0.7386345; 2.3928641; 1.0420324; 2.0000000; 0.0000000
0.6977774; -1.0909865; 6.0052448; 0.8073411; 0.7729141; 2.4977625; 1.0416947; 2.0000000; 0.0000000
0.7974599; -1.1463591; 5.9232154; 0.7664072; 0.8020463; 2.5963129; 0.9470890; 2.0000000; 0.0000000
0.8971423; -1.1938809; 5.8362234; 0.7254734; 0.8311785; 2.6852473; 0.8466496; 2.0000000; 0.0000000
0.9968248; -1.2340911; 5.7451656; 0.6845395; 0.8603106; 2.7646458; 0.7493651; 2.0000000; 0.0000000
1.0965073; -1.2675289; 5.6509388; 0.6436056; 0.8894428; 2.8350531; 0.6604271; 2.0000000; 0.0000000
1.1961898; -1.2947333; 5.5544397; 0.6026718; 0.9185750; 2.8972577; 0.5820930; 2.0000000; 0.0000000
1.2958723; -1.3162436; 5.4565651; 0.5617379; 0.9477072; 2.9521329; 0.5147342; 2.0000000; 0.0000000
1.3955547; -1.3326536; 5.3578194; 0.5518031; 0.9591044; 3.0007335; 0.4564964; 2.0000000; 0.0000000
1.4952372; -1.3445098; 5.2587322; 0.5425747; 0.9700975; 3.0432487; 0.3947908; 2.0000000; 0.0000000
1.5949197; -1.3524434; 5.1594640; 0.5333462; 0.9810906; 3.0793601; 0.3300447; 2.0000000; 0.0000000
1.6946022; -1.3571096; 5.0600482; 0.5241178; 0.9920837; 3.1089236; 0.2638938; 2.0000000; 0.0000000
1.7942847; -1.3591639; 4.9605179; 0.5148894; 1.0030768; 3.1318841; 0.1973758; 2.0000000; 0.0000000
1.8939671; -1.3592616; 4.8609063; 0.5056609; 1.0140699; -3.1349479; 0.1310172; 2.0000000; 0.0000000
1.9936496; -1.3580581; 4.7612547; 0.5006821; 1.0236207; -3.1251375; 0.0723657; 2.0000000; 0.0000000
2.0933321; -1.3560731; 4.6616365; 0.5024465; 1.0308828; -3.1183401; 0.0640800; 2.0000000; 0.0000000
2.1930146; -1.3534514; 4.5620067; 0.5042109; 1.0381448; -3.1123655; 0.0558194; 2.0000000; 0.0000000
2.2926971; -1.3502748; 4.4623722; 0.5059754; 1.0454069; -3.1072118; 0.0475827; 2.0000000; 0.0000000
2.3923796; -1.3466250; 4.3627397; 0.5077398; 1.0526689; -3.1028776; 0.0393667; 2.0000000; 0.0000000
2.4920620; -1.3425839; 4.2631158; 0.5095042; 1.0599310; -3.0993614; 0.0311671; 2.0000000; 0.0000000
2.5917445; -1.3382333; 4.1635074; 0.5112687; 1.0671931; -3.0966622; 0.0229783; 2.0000000; 0.0000000
2.6914270; -1.3336545; 4.0639123; 0.5102722; 1.0638771; -3.0947652; 0.0153345; 2.0000000; 0.0000000
2.7911095; -1.3289235; 3.9643307; 0.5085078; 1.0576185; -3.0935931; 0.0081774; 2.0000000; 0.0000000
2.8907920; -1.3241118; 3.8647635; 0.5067434; 1.0513600; -3.0931349; 0.0010152; 2.0000000; 0.0000000
2.9904744; -1.3192904; 3.7652035; 0.5049790; 1.0451015; -3.0933908; -0.0061495; 2.0000000; 0.0000000
3.0901569; -1.3145302; 3.6656433; 0.5032146; 1.0388430; -3.0943608; -0.0133143; 2.0000000; 0.0000000
3.1898394; -1.3099020; 3.5660759; 0.5014501; 1.0325845; -3.0960449; -0.0204765; 2.0000000; 0.0000000
3.2895219; -1.3054768; 3.4664938; 0.5006135; 1.0281786; -3.0984427; -0.0276332; 2.0000000; 0.0000000
3.3892044; -1.3012972; 3.3668907; 0.5040580; 1.0323213; -3.1006267; -0.0145569; 2.0000000; 0.0000000
3.4888869; -1.2972619; 3.2672760; 0.5075025; 1.0364639; -3.1013383; 0.0002797; 2.0000000; 0.0000000
3.5885693; -1.2932238; 3.1676616; 0.5109469; 1.0406066; -3.1005709; 0.0151166; 2.0000000; 0.0000000
3.6882518; -1.2890359; 3.0680594; 0.5143914; 1.0447493; -3.0983241; 0.0299613; 2.0000000; 0.0000000
3.7879343; -1.2845510; 2.9684812; 0.5178359; 1.0488919; -3.0945971; 0.0448199; 2.0000000; 0.0000000
3.8876168; -1.2796220; 2.8689390; 0.5212803; 1.0530346; -3.0893891; 0.0596955; 2.0000000; 0.0000000
3.9872993; -1.2741013; 2.7694321; 0.5285950; 1.0506873; -3.0827070; 0.0740088; 2.0000000; 0.0000000
4.0869817; -1.2678469; 2.6699576; 0.5387824; 1.0435228; -3.0746792; 0.0870776; 2.0000000; 0.0000000
4.1866642; -1.2607304; 2.5705526; 0.5489698; 1.0363584; -3.0653500; 0.1001396; 2.0000000; 0.0000000
4.2863467; -1.2526225; 2.4712274; 0.5591572; 1.0291939; -3.0547206; 0.1131757; 2.0000000; 0.0000000
4.3860292; -1.2433942; 2.3719923; 0.5693445; 1.0220294; -3.0427935; 0.1261588; 2.0000000; 0.0000000
4.4857117; -1.2329163; 2.2728577; 0.5795319; 1.0148650; -3.0295734; 0.1390537; 2.0000000; 0.0000000
4.5853942; -1.2210599; 2.1738339; 0.5897193; 1.0077005; -3.0150675; 0.1518160; 2.0000000; 0.0000000
4.6850766; -1.2076973; 2.0749858; 0.6112972; 0.9866616; -2.9990363; 0.1717043; 2.0000000; 0.0000000
4.7847591; -1.1926402; 1.9763630; 0.6332083; 0.9652168; -2.9807568; 0.1948043; 2.0000000; 0.0000000
4.8844416; -1.1756706; 1.8780603; 0.6551194; 0.9437720; -2.9601547; 0.2183033; 2.0000000; 0.0000000
4.9841241; -1.1565726; 1.7801922; 0.6770306; 0.9223271; -2.9371987; 0.2421832; 2.0000000; 0.0000000
5.0838066; -1.1351306; 1.6828731; 0.6989417; 0.9008823; -2.9118607; 0.2663719; 2.0000000; 0.0000000
5.1834890; -1.1111287; 1.5862174; 0.7208529; 0.8794375; -2.8841192; 0.2907348; 2.0000000; 0.0000000
5.2831715; -1.0843515; 1.4903408; 0.7488704; 0.8526242; -2.8539759; 0.3129493; 2.0000000; 0.0000000
5.3828540; -1.0546301; 1.3953608; 0.7871482; 0.8167903; -2.8225882; 0.3178010; 2.0000000; 0.0000000
5.4825365; -1.0219157; 1.3013569; 0.8254261; 0.7809565; -2.7907129; 0.3226593; 2.0000000; 0.0000000
5.5822190; -0.9861853; 1.2084164; 0.8637039; 0.7451227; -2.7583436; 0.3274662; 2.0000000; 0.0000000
5.6819014; -0.9474156; 1.1166263; 0.9019818; 0.7092888; -2.7254777; 0.3321591; 2.0000000; 0.0000000
5.7815839; -0.9055837; 1.0260736; 0.9402596; 0.6734550; -2.6921171; 0.3366704; 2.0000000; 0.0000000
5.8812664; -0.8606662; 0.9368456; 0.9785375; 0.6376212; -2.6582683; 0.3409287; 2.0000000; 0.0000000
5.9809489; -0.8126461; 0.8490520; 1.0075712; 0.6143911; -2.6235901; 0.3593422; 2.0000000; 0.0000000
6.0806314; -0.7614446; 0.7629670; 1.0340249; 0.5946787; -2.5858664; 0.3944177; 2.0000000; 0.0000000
6.1803139; -0.7069187; 0.6790292; 1.0604786; 0.5749663; -2.5444924; 0.4327933; 2.0000000; 0.0000000
6.2799963; -0.6489313; 0.5977002; 1.0869323; 0.5552539; -2.4992082; 0.4743988; 2.0000000; 0.0000000
6.3796788; -0.5873452; 0.5194414; 1.1133861; 0.5355415; -2.4497673; 0.5188889; 2.0000000; 0.0000000
6.4793613; -0.5220230; 0.4447141; 1.1398398; 0.5158291; -2.3959594; 0.5655393; 2.0000000; 0.0000000
6.5790438; -0.4528276; 0.3739798; 1.1526075; 0.5041979; -2.3376377; 0.6131380; 2.0000000; 0.0000000
6.6787263; -0.3790630; 0.3070644; 1.1095892; 0.5255072; -2.2783471; 0.5671317; 2.0000000; 0.0000000
6.7784087; -0.3015855; 0.2443786; 1.0665709; 0.5468164; -2.2247290; 0.5086971; 2.0000000; 0.0000000
6.8780912; -0.2209816; 0.1856665; 1.0235526; 0.5681257; -2.1768962; 0.4507667; 2.0000000; 0.0000000
6.9777737; -0.1377661; 0.1306033; 0.9805342; 0.5894349; -2.1347366; 0.3945431; 2.0000000; 0.0000000
7.0774562; -0.0524540; 0.0788640; 0.9375159; 0.6107442; -2.0980809; 0.3405632; 2.0000000; 0.0000000
7.1771387; 0.0344398; 0.0301238; 0.8944976; 0.6320534; -2.0667426; 0.2888376; 2.0000000; 0.0000000
7.2768212; 0.1227030; -0.0160914; 0.8552646; 0.6591290; -2.0401300; 0.2582345; 2.0000000; 0.0000000
7.3765036; 0.2123262; -0.0600884; 0.8184077; 0.6898242; -2.0140734; 0.2634983; 2.0000000; 0.0000000
7.4761861; 0.3028117; -0.1015969; 0.7815508; 0.7205194; -1.9876362; 0.2673725; 2.0000000; 0.0000000
7.5758686; 0.3942468; -0.1406330; 0.7446939; 0.7512146; -1.9609216; 0.2697738; 2.0000000; 0.0000000
7.6755511; 0.4867186; -0.1772130; 0.7078370; 0.7819098; -1.9340370; 0.2706514; 2.0000000; 0.0000000
7.7752336; 0.5803144; -0.2113530; 0.6709800; 0.8126049; -1.9070919; 0.2699898; 2.0000000; 0.0000000
7.8749160; 0.6751214; -0.2430691; 0.6346177; 0.8430687; -1.8801964; 0.2678094; 2.0000000; 0.0000000
7.9745985; 0.7698248; -0.2719665; 0.6141234; 0.8661046; -1.8537275; 0.2672851; 2.0000000; 0.0000000
8.0742810; 0.8654604; -0.2983995; 0.5936290; 0.8891406; -1.8271710; 0.2681756; 2.0000000; 0.0000000
8.1739635; 0.9621049; -0.3223571; 0.5731347; 0.9121765; -1.8003795; 0.2701272; 2.0000000; 0.0000000
8.2736460; 1.0596195; -0.3437595; 0.5526404; 0.9352125; -1.7732697; 0.2731140; 2.0000000; 0.0000000
8.3733284; 1.1578653; -0.3625269; 0.5321461; 0.9582484; -1.7457595; 0.2771169; 2.0000000; 0.0000000
8.4730109; 1.2567036; -0.3785797; 0.5116518; 0.9812844; -1.7177677; 0.2821219; 2.0000000; 0.0000000
8.5726934; 1.3559166; -0.3918286; 0.5000000; 0.9957876; -1.6892207; 0.2892706; 2.0000000; 0.0000000
8.6723759; 1.4552413; -0.4021756; 0.5000000; 0.9990471; -1.6597869; 0.3003083; 2.0000000; 0.0000000
8.7720584; 1.5547795; -0.4095361; 0.5000000; 1.0023067; -1.6292345; 0.3119804; 2.0000000; 0.0000000
8.8717409; 1.6544238; -0.4137913; 0.5000000; 1.0055662; -1.5975120; 0.3242187; 2.0000000; 0.0000000
8.9714233; 1.7540664; -0.4148228; 0.5000000; 1.0088258; -1.5645729; 0.3369332; 2.0000000; 0.0000000
9.0711058; 1.8535999; -0.4125120; 0.5000000; 1.0120854; -1.5303777; 0.3500092; 2.0000000; 0.0000000
9.1707883; 1.9529165; -0.4067402; 0.5000000; 1.0153449; -1.4948953; 0.3633038; 2.0000000; 0.0000000
9.2704708; 2.0524076; -0.3973341; 0.5205159; 1.0013784; -1.4579905; 0.3745845; 2.0000000; 0.0000000
9.3701533; 2.1516487; -0.3841837; 0.5450920; 0.9840028; -1.4199254; 0.3861083; 2.0000000; 0.0000000
9.4698357; 2.2501602; -0.3672349; 0.5696680; 0.9666272; -1.3806882; 0.3991598; 2.0000000; 0.0000000
9.5695182; 2.3477231; -0.3464142; 0.5942441; 0.9492516; -1.3401543; 0.4136508; 2.0000000; 0.0000000
9.6692007; 2.4441188; -0.3216478; 0.6188201; 0.9318760; -1.2982061; 0.4294580; 2.0000000; 0.0000000
9.7688832; 2.5391283; -0.2928621; 0.6433961; 0.9145004; -1.2547359; 0.4464113; 2.0000000; 0.0000000
