# e4d2aa42-10d2-4b10-8257-1ed583af3e1f
# aa4c8182029d92a9ee9c60af4836c73d1f3cf5e0
# s_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0140084; 0.0786263; 0.8618108; 0.6381892; -2.1528506; 0.3643801; 3.8435981; 0.8854858
0.0996716; 0.0982573; 0.0253354; 0.8273428; 0.6840319; -2.1168608; 0.3576298; 3.8664922; 0.9642636
0.1993432; 0.1843235; -0.0249023; 0.7928748; 0.7298747; -2.0815531; 0.3509474; 3.8912699; 1.0903905
0.2990147; 0.2720847; -0.0720947; 0.7584068; 0.7757174; -2.0469079; 0.3444233; 3.9190998; 1.1727005
0.3986863; 0.3614183; -0.1162499; 0.7239388; 0.8215602; -2.0128998; 0.3381377; 3.9488116; 1.2274352
0.4983579; 0.4522019; -0.1573757; 0.6894708; 0.8674029; -1.9794987; 0.3321599; 3.9796726; 1.2611589
0.5980295; 0.5443130; -0.1954800; 0.6550027; 0.9132457; -1.9466699; 0.3265500; 4.0111342; 1.2696131
0.6977011; 0.6375948; -0.2305584; 0.6223324; 0.9537533; -1.9143832; 0.3217749; 4.0425593; 1.2245482
0.7973726; 0.7318125; -0.2625800; 0.5983302; 0.9685363; -1.8824964; 0.3190821; 4.0726394; 1.1380313
0.8970442; 0.8270307; -0.2916033; 0.5743280; 0.9833193; -1.8508634; 0.3164714; 4.1003963; 1.0284356
0.9967158; 0.9231648; -0.3176253; 0.5503258; 0.9981024; -1.8194692; 0.3139674; 4.1253196; 0.3720321
1.0963874; 1.0201302; -0.3406430; 0.5263237; 1.0128854; -1.7882975; 0.3115915; 4.1342985; -0.5792661
1.1960590; 1.1178425; -0.3606537; 0.5023215; 1.0276684; -1.7573306; 0.3093619; 4.1203096; -1.6600707
1.2957305; 1.2162170; -0.3776545; 0.4783193; 1.0424514; -1.7265496; 0.3072938; 4.0799543; -2.2405084
1.3954021; 1.3151007; -0.3916330; 0.4618297; 1.0521800; -1.6958870; 0.3093555; 4.0248475; -2.4832263
1.4950737; 1.4143228; -0.4025399; 0.4600078; 1.0520403; -1.6645052; 0.3195797; 3.9628756; -2.5464621
1.5947453; 1.5138567; -0.4102764; 0.4581858; 1.0519005; -1.6320411; 0.3309388; 3.8983026; -2.4949042
1.6944169; 1.6135478; -0.4147186; 0.4563639; 1.0517608; -1.5984030; 0.3433864; 3.8339824; -2.4259080
1.7940884; 1.7132416; -0.4157423; 0.4545420; 1.0516211; -1.5635027; 0.3568571; 3.7703890; -2.3401527
1.8937600; 1.8127833; -0.4132237; 0.4527201; 1.0514814; -1.5272575; 0.3712600; 3.7080102; -2.2753087
1.9934316; 1.9120184; -0.4070387; 0.4508982; 1.0513417; -1.4895919; 0.3864712; 3.6463368; -2.2389934
2.0931032; 2.0110163; -0.3970380; 0.4632385; 1.0384885; -1.4504432; 0.3985989; 3.5846122; -2.2908100
2.1927748; 2.1096325; -0.3831060; 0.4893500; 1.0132730; -1.4103152; 0.4071434; 3.5203391; -2.4114654
2.2924463; 2.2075297; -0.3652025; 0.5154616; 0.9880575; -1.3693769; 0.4154553; 3.4513878; -2.6093016
2.3921179; 2.3045908; -0.3432709; 0.5415731; 0.9628419; -1.3276350; 0.4233694; 3.3751936; -2.8416801
2.4917895; 2.4006986; -0.3172546; 0.5676846; 0.9376264; -1.2851073; 0.4307076; 3.2902070; -3.1047264
2.5914611; 2.4957358; -0.2870967; 0.5937961; 0.9124108; -1.2418241; 0.4372826; 3.1947701; -3.3842879
2.6911327; 2.5895854; -0.2527407; 0.6199077; 0.8871953; -1.1978287; 0.4429027; 3.0873810; -3.4870896
2.7908042; 2.6819757; -0.2141678; 0.6688187; 0.8490817; -1.1520249; 0.4833123; 2.9726746; -3.4013296
2.8904758; 2.7724513; -0.1711315; 0.7281947; 0.8050480; -1.1005437; 0.5454263; 2.8563547; -3.1271000
2.9901474; 2.8603149; -0.1232838; 0.7875706; 0.7610143; -1.0425707; 0.6144696; 2.7450676; -2.8264657
3.0898190; 2.9448122; -0.0702966; 0.8469465; 0.7169805; -0.9775759; 0.6895319; 2.6404469; -2.5138850
3.1894906; 3.0251889; -0.0118419; 0.9063224; 0.6729468; -0.9051354; 0.7682986; 2.5437834; -1.5964391
