# ce4df03a-4c21-468f-af9a-1329edfa2cc3
# a8f06687e10981d6ee2c4e0520de791d64c6dbcb
# s_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.0245878; -0.0005092; 0.7734445; 0.7265555; -1.9790977; 0.4606752; 3.4413334; 2.3217401
0.0999452; 0.0678904; -0.0380650; 0.7577997; 0.7536994; -1.9344657; 0.4333505; 3.5081147; 2.4932463
0.1998904; 0.1618770; -0.0715776; 0.7421549; 0.7808433; -1.8926247; 0.4051412; 3.5784416; 2.7435079
0.2998355; 0.2571859; -0.1012773; 0.7265101; 0.8079871; -1.8535981; 0.3766850; 3.6542640; 2.9856038
0.3997807; 0.3536312; -0.1273943; 0.7108653; 0.8351310; -1.8173716; 0.3484731; 3.7350286; 3.2170381
0.4997259; 0.4510265; -0.1501588; 0.6952205; 0.8622749; -1.7839030; 0.3208575; 3.8201431; 3.4371625
0.5996711; 0.5491860; -0.1698011; 0.6795757; 0.8894188; -1.7531309; 0.2940656; 3.9090343; 3.6452925
0.6996162; 0.6478777; -0.1865442; 0.6648099; 0.9125478; -1.7249934; 0.2683969; 4.0011508; 3.8406771
0.7995614; 0.7467335; -0.2005963; 0.6551692; 0.9122670; -1.6994089; 0.2440222; 4.0959642; 4.0294106
0.8995066; 0.8459320; -0.2122390; 0.6455284; 0.9119863; -1.6762565; 0.2195813; 4.1931328; 4.2165776
0.9994518; 0.9454079; -0.2217072; 0.6358877; 0.9117056; -1.6555324; 0.1952273; 4.2924603; 4.4060510
1.0993969; 1.0450963; -0.2292361; 0.6262469; 0.9114249; -1.6372250; 0.1710550; 4.3938529; 4.5929272
1.1993421; 1.1449320; -0.2350607; 0.6166062; 0.9111442; -1.6213178; 0.1471072; 4.4971129; 4.7398534
1.2992873; 1.2448499; -0.2394160; 0.6069654; 0.9108634; -1.6077932; 0.1233829; 4.6012472; 4.2200193
1.3992325; 1.3447670; -0.2425360; 0.6000000; 0.9102619; -1.5965596; 0.1053149; 4.6920163; 0.6154535
1.4991776; 1.4446193; -0.2445905; 0.6000000; 0.9088251; -1.5862485; 0.1011454; 4.7051079; -3.0822925
1.5991228; 1.5444681; -0.2456363; 0.6000000; 0.9073884; -1.5763619; 0.0968554; 4.6391723; -6.0875708
1.6990680; 1.6443342; -0.2457164; 0.6000000; 0.9059516; -1.5669080; 0.0924604; 4.5061151; -6.1347859
1.7990132; 1.7442377; -0.2448739; 0.6000000; 0.9045148; -1.5578938; 0.0879757; 4.3679272; -6.1711503
1.8989583; 1.8441993; -0.2431519; 0.6000000; 0.9030780; -1.5493257; 0.0834161; 4.2243621; -6.1626126
1.9989035; 1.9442394; -0.2405936; 0.6000000; 0.9016412; -1.5412088; 0.0787958; 4.0759524; -6.0242568
2.0988487; 2.0442305; -0.2372391; 0.6064368; 0.8950190; -1.5329398; 0.1044854; 3.9254550; -5.7353425
2.1987939; 2.1440579; -0.2328199; 0.6222900; 0.8808112; -1.5190111; 0.1743497; 3.7766066; -5.3164915
2.2987390; 2.2437997; -0.2266614; 0.6381432; 0.8666034; -1.4980765; 0.2447258; 3.6331863; -4.8386449
2.3986842; 2.3433168; -0.2180696; 0.6539964; 0.8523956; -1.4700921; 0.3156494; 3.4975483; -4.3185561
2.4986294; 2.4424703; -0.2063505; 0.6698496; 0.8381878; -1.4350289; 0.3866084; 3.3718847; -3.7663436
2.5985746; 2.5411209; -0.1908103; 0.6857027; 0.8239799; -1.3929147; 0.4563810; 3.2583355; -3.3162489
2.6985197; 2.6391297; -0.1707551; 0.7015559; 0.8097721; -1.3438863; 0.5229134; 3.1549745; -3.0524042
2.7984649; 2.7362081; -0.1455413; 0.7351625; 0.7871286; -1.2887266; 0.5688574; 3.0567496; -2.9551153
2.8984101; 2.8318968; -0.1147574; 0.7838188; 0.7573340; -1.2297336; 0.6063546; 2.9585502; -2.8812337
2.9983553; 2.9255530; -0.0781836; 0.8324751; 0.7275394; -1.1664695; 0.6534507; 2.8595609; -2.7341496
3.0983004; 3.0163897; -0.0356403; 0.8811314; 0.6977449; -1.0981673; 0.7096419; 2.7623465; -2.5079782
3.1982456; 3.1036199; 0.0130520; 0.9297877; 0.6679503; -1.0241161; 0.7737376; 2.6700632; -2.1729044
3.2981908; 3.1864564; 0.0680727; 0.9784440; 0.6381557; -0.9437228; 0.8433709; 2.5874495; -1.6214708
3.3981360; 3.2641123; 0.1296015; 1.0271003; 0.6083611; -0.8566055; 0.9144931; 2.5240401; -0.9251230
3.4980811; 3.3366235; 0.1986388; 1.0569987; 0.6000000; -0.7629783; 0.9361638; 2.4871380; -0.3895080
3.5980263; 3.4028081; 0.2747421; 1.0795797; 0.6000000; -0.6686135; 0.9368671; 2.4714361; -0.4448736
3.6979715; 3.4613719; 0.3565553; 1.1021607; 0.6000000; -0.5736588; 0.9524179; 2.4533794; -0.8746169
3.7979167; 3.5116395; 0.4432452; 1.1247416; 0.6000000; -0.4767879; 0.9825976; 2.4174870; -1.3585985
3.8978618; 3.5529354; 0.5339784; 1.1473226; 0.6000000; -0.3767174; 1.0263902; 2.3606509; -1.0328933
3.9978070; 3.5845843; 0.6279215; 1.1699035; 0.6000000; -0.2722730; 1.0815042; 2.3165075; -0.6008566
4.0977522; 3.6059105; 0.7242413; 1.1923325; 0.6000000; -0.1624934; 1.1437029; 2.2904370; 0.2968025
4.1976974; 3.6163633; 0.8228384; 1.1898054; 0.6000000; -0.0492372; 1.1240644; 2.3033518; 0.5961548
4.2976425; 3.6157656; 0.9221835; 1.1872783; 0.6000000; 0.0606841; 1.0887206; 2.3290760; 0.8615705
4.3975877; 3.6044030; 1.0210734; 1.1847512; 0.6000000; 0.1676567; 1.0611240; 2.3657588; 0.5605804
4.4975329; 3.5825907; 1.1184769; 1.1822241; 0.6000000; 0.2726564; 1.0435729; 2.3893240; 0.2552895
4.5974781; 3.5506439; 1.2133630; 1.1796969; 0.6000000; 0.3767629; 1.0369642; 2.3999790; -0.0089865
4.6974232; 3.5088777; 1.3047008; 1.1771698; 0.6000000; 0.4810753; 1.0410196; 2.3996048; -0.1235871
4.7973684; 3.4577459; 1.3912507; 1.1641825; 0.6068766; 0.5863368; 1.0464964; 2.3944517; 0.5867478
