# f4d77473-36ce-415e-bc5b-9c774da19f5c
# 640d50d3ed8e45fe00cec3284414c1f5a85be351
# s_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.1148858; 6.3953286; 0.3305170; 1.8708829; -1.6466530; 0.3770252; 1.4220245; -0.0402298
0.1992001; 0.0616421; 6.4009683; 0.3147886; 1.9039377; -1.5859678; -2.4923658; 1.4163778; -0.0402298
0.3984002; 0.2611126; 6.3469400; 0.3000000; 1.9291142; -2.0473232; -1.5142908; 1.4107085; 1.9465038
0.5976003; 0.4218081; 6.2371827; 0.3000000; 1.8303119; -2.2774888; -1.0118851; 1.6630051; 2.1460851
0.7968003; 0.5679137; 6.0831087; 0.3022409; 1.7256206; -2.4863868; -0.9345442; 1.9027839; 1.5437964
0.9960004; 0.6727579; 5.9191561; 0.3416756; 1.5231875; -2.6550498; -0.8146207; 2.0580659; 1.4646244
1.1952005; 0.7532097; 5.7315862; 0.3811102; 1.3207544; -2.8165215; -0.7774150; 2.1952544; 1.1568861
1.3944006; 0.8023375; 5.5394316; 0.4533446; 1.1895418; -2.9606641; -0.6338078; 2.2978350; 1.5475826
1.5936007; 0.8268875; 5.3422583; 0.5392826; 1.0880851; -3.0692156; -0.4659059; 2.4282922; 2.1344904
1.7928008; 0.8329340; 5.1397558; 0.6246271; 0.9873562; 3.1332849; -0.3362963; 2.5974957; 2.5957140
1.9920009; 0.8254743; 4.9413689; 0.6523137; 0.9573501; 3.0790044; -0.2087767; 2.7894654; 3.2194455
2.1912009; 0.8097351; 4.7428866; 0.6800003; 0.9273439; 3.0501186; -0.0821895; 3.0106054; 4.0732954
2.3904010; 0.7906115; 4.5434147; 0.7028343; 0.9022439; 3.0459990; 0.0403244; 3.2690283; 2.2007871
2.5896011; 0.7730670; 4.3450580; 0.6793466; 0.9239774; 3.0640894; 0.1412061; 3.4004912; -2.6532407
2.7888012; 0.7611026; 4.1460656; 0.6558589; 0.9457110; 3.1023867; 0.2434206; 3.2413406; -1.8386694
2.9880013; 0.7588130; 3.9468285; 0.6335098; 0.9664902; -3.1219171; 0.3435042; 3.1263017; -1.7604041
3.1872014; 0.7699521; 3.7455764; 0.6208588; 0.9791412; -3.0495536; 0.3771354; 3.0120453; -1.5478770
3.3864015; 0.7960207; 3.5479793; 0.6082078; 0.9917922; -2.9695924; 0.4283113; 2.9078760; -1.3378902
3.5856015; 0.8388307; 3.3536494; 0.6031970; 0.9948566; -2.8778071; 0.4822819; 2.8147339; -1.3086532
3.7848016; 0.9035678; 3.1544315; 0.6431474; 0.9415052; -2.7764903; 0.4973416; 2.7205439; -0.8132388
3.9840017; 0.9822944; 2.9762966; 0.6830979; 0.8881538; -2.6707850; 0.6116241; 2.6603317; -0.1408009
4.1832018; 1.0872788; 2.8012953; 0.7443921; 0.8095698; -2.5282203; 0.7121219; 2.6497679; -0.1408009
4.3824019; 1.2092187; 2.6496503; 0.8464597; 0.6827836; -2.4092538; 0.4353764; 2.6391617; 1.8278511
4.5816020; 1.3400377; 2.5129525; 0.9485273; 0.5559974; -2.3434813; 0.4746939; 2.7736962; 1.1937149
4.7808021; 1.4890408; 2.3820569; 1.0842268; 0.4483360; -2.2400404; 0.4846864; 2.8581405; 0.8767969
4.9800021; 1.6414510; 2.2725971; 1.2274620; 0.3449597; -2.1462907; 0.5142847; 2.9186098; 0.4483557
5.1792022; 1.8241158; 2.1679723; 1.3547422; 0.3054664; -2.0345724; 0.5262600; 2.9490521; 0.2487618
