# dfe2768e-c125-4972-b3bc-e0b9c935af42
# 640d50d3ed8e45fe00cec3284414c1f5a85be351
# s_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -31.4599496; 13.9524388; 0.5998369; 1.0403631; -1.3699146; -0.8673068; 2.1880182; 0.7518306
0.0998735; -31.3775346; 13.9663275; 0.6743723; 0.9689789; -1.4358461; -0.7276279; 2.2220710; 1.3082489
0.1997471; -31.2875197; 13.9756581; 0.7489076; 0.8975947; -1.4981365; -0.6583408; 2.2801137; 1.4730835
0.2996206; -31.1913583; 13.9796559; 0.8234430; 0.8262106; -1.5599287; -0.6314237; 2.3437497; 1.4213301
0.3994941; -31.0905043; 13.9775463; 0.8979783; 0.7548264; -1.6235296; -0.6334488; 2.4035534; 1.2246724
0.4993677; -30.9864114; 13.9685546; 0.9725136; 0.6834422; -1.6908218; -0.6576439; 2.4539140; 0.9191137
0.5992412; -30.8805331; 13.9519060; 1.0470490; 0.6120581; -1.7634643; -0.7002789; 2.4910407; 0.5301330
0.6991147; -30.7743233; 13.9268260; 1.0846243; 0.5669196; -1.8429685; -0.7586178; 2.5122055; 0.0856684
0.7989883; -30.6742222; 13.8944098; 1.1106931; 0.5299520; -1.9257103; -0.7898670; 2.5156090; -0.1254105
0.8988618; -30.5860242; 13.8579614; 1.1367618; 0.4929843; -1.9989191; -0.7442588; 2.5106251; 0.1823579
0.9987353; -30.4996794; 13.8148233; 1.1628306; 0.4560167; -2.0686250; -0.7003062; 2.5178689; 0.4331619
1.0986089; -30.4154302; 13.7653052; 1.1888993; 0.4190491; -2.1350389; -0.6593189; 2.5349924; 0.6342265
1.1984824; -30.3335187; 13.7097164; 1.2149681; 0.3820815; -2.1984382; -0.6221101; 2.5598577; 0.7919846
1.2983560; -30.2541875; 13.6483667; 1.2410369; 0.3451139; -2.2591419; -0.5891110; 2.5905729; 0.9118555
1.3982295; -30.1776787; 13.5815656; 1.2671056; 0.3081463; -2.3174907; -0.5604800; 2.6254920; 0.9982617
1.4981030; -30.1042348; 13.5096228; 1.2665801; 0.3056070; -2.3738331; -0.5361941; 2.6631951; 1.0547539
1.5979766; -30.0340979; 13.4328477; 1.2585378; 0.3127988; -2.4285165; -0.5161196; 2.7024604; 1.0841713
1.6978501; -29.9694863; 13.3540948; 1.2504955; 0.3199907; -2.4801767; -0.4950387; 2.7422349; 1.1265833
1.7977236; -29.9117893; 13.2762590; 1.2424532; 0.3271825; -2.5267879; -0.4674450; 2.7829632; 1.2243808
1.8975972; -29.8572073; 13.1951570; 1.2344109; 0.3343743; -2.5712305; -0.4421459; 2.8265616; 1.3072813
1.9974707; -29.8057567; 13.1110407; 1.2263687; 0.3415661; -2.6136809; -0.4192579; 2.8723816; 1.3754280
2.0973442; -29.7574540; 13.0241620; 1.2183264; 0.3487579; -2.6543219; -0.3988165; 2.9198140; 1.4290022
2.1972178; -29.7123156; 12.9347728; 1.2102841; 0.3559497; -2.6933385; -0.3808024; 2.9682912; 1.4681579
