# x_m,y_m,w_tr_right_m,w_tr_left_m
-31.2434,14.1164,0.8201,0.8201
-31.0469,13.9313,0.8139,0.8139
-30.8682,13.7421,0.8322,0.8322
-30.7052,13.5493,0.8139,0.8139
-30.5560,13.3534,0.8139,0.8139
-30.4187,13.1552,0.7826,0.7826
-30.2912,12.9550,0.7906,0.7906
-30.1715,12.7535,0.7810,0.7810
-30.0560,12.5500,0.7826,0.7826
-29.9405,12.3500,0.7826,0.7826
-29.8244,12.1500,0.7826,0.7826
-29.7126,11.9500,0.8062,0.8062
-29.6019,11.7500,0.8201,0.8201
-29.5053,11.5500,0.8078,0.8078
-29.4110,11.3500,0.8276,0.8276
-29.3224,11.1500,0.8276,0.8276
-29.2448,10.9500,0.8139,0.8139
-29.1849,10.7500,0.8139,0.8139
-29.1443,10.5500,0.8139,0.8139
-29.1256,10.3500,0.8000,0.8000
-29.1285,10.1465,0.8515,0.8515
-29.1602,9.9459,0.8382,0.8382
-29.2216,9.7478,0.8544,0.8544
-29.3110,9.5482,0.8500,0.8500
-29.4307,9.3496,0.8485,0.8485
-29.5773,9.1540,0.8322,0.8322
-29.7452,8.9631,0.8322,0.8322
-29.9333,8.7779,0.8139,0.8139
-30.1285,8.5991,0.8322,0.8322
-30.3325,8.4270,0.8322,0.8322
-30.5388,8.2613,0.8485,0.8485
-30.7465,8.1013,0.8515,0.8515
-30.9500,7.9460,0.8515,0.8515
-31.1500,7.7937,0.8602,0.8602
-31.3500,7.6388,0.8602,0.8602
-31.5500,7.4924,0.8846,0.8846
-31.7500,7.3478,0.8746,0.8746
-31.9500,7.1982,0.8846,0.8846
-32.1500,7.0496,0.8746,0.8746
-32.3500,6.9076,0.8846,0.8846
-32.5500,6.7707,0.8746,0.8746
-32.7500,6.6342,0.8746,0.8746
-32.9500,6.5031,0.8746,0.8746
-33.1500,6.3757,0.8846,0.8846
-33.3500,6.2465,0.8902,0.8902
-33.5500,6.1202,0.8732,0.8732
-33.7500,5.9947,0.8902,0.8902
-33.9500,5.8640,0.8602,0.8602
-34.1500,5.7324,0.8746,0.8746
-34.3500,5.6041,0.8602,0.8602
-34.5500,5.4769,0.8902,0.8902
-34.7500,5.3384,0.8746,0.8746
-34.9500,5.2003,0.8902,0.8902
-35.1500,5.0606,0.8602,0.8602
-35.3500,4.9210,0.8746,0.8746
-35.5500,4.7759,0.8902,0.8902
-35.7500,4.6336,0.8902,0.8902
-35.9500,4.4952,0.8322,0.8322
-36.1500,4.3548,0.8500,0.8500
-36.3500,4.2235,0.8276,0.8276
-36.5500,4.0957,0.8500,0.8500
-36.7500,3.9655,0.8276,0.8276
-36.9500,3.8440,0.8515,0.8515
-37.1500,3.7219,0.8602,0.8602
-37.3500,3.6034,0.8602,0.8602
-37.5500,3.4754,0.8732,0.8732
-37.7500,3.3516,0.9014,0.9014
-37.9500,3.2218,0.9014,0.9014
-38.1500,3.0962,0.9179,0.9179
-38.3500,2.9646,0.9179,0.9179
-38.5500,2.8371,0.9301,0.9301
-38.7500,2.7106,0.9434,0.9434
-38.9500,2.5852,0.9394,0.9394
-39.1500,2.4648,0.9618,0.9618
-39.3500,2.3394,0.9434,0.9434
-39.5500,2.2093,0.9849,0.9849
-39.7500,2.0848,0.9849,0.9849
-39.9500,1.9557,1.0000,1.0000
-40.1500,1.8321,1.0000,1.0000
-40.3500,1.7039,1.0124,1.0124
-40.5500,1.5777,1.0000,1.0000
-40.7500,1.4533,1.0124,1.0124
-40.9500,1.3305,1.0062,1.0062
-41.1500,1.2055,1.0062,1.0062
-41.3500,1.0846,1.0124,1.0124
-41.5500,0.9671,0.9849,0.9849
-41.7500,0.8523,1.0000,1.0000
-41.9500,0.7395,1.0062,1.0062
-42.1500,0.6212,1.0000,1.0000
-42.3500,0.5031,1.0296,1.0296
-42.5500,0.3910,1.0259,1.0259
-42.7500,0.2738,0.9862,0.9862
-42.9500,0.1573,1.0124,1.0124
-43.1500,0.0368,0.9862,0.9862
-43.3500,-0.0823,1.0296,1.0296
-43.5500,-0.2053,1.0124,1.0124
-43.7500,-0.3280,1.0062,1.0062
-43.9500,-0.4433,1.0124,1.0124
-44.1500,-0.5518,1.0124,1.0124
-44.3500,-0.6447,1.0124,1.0124
-44.5500,-0.7307,1.0124,1.0124
-44.7500,-0.8027,0.9962,0.9962
-44.9500,-0.8685,0.9487,0.9487
-45.1500,-0.9202,0.9487,0.9487
-45.3500,-0.9549,0.9552,0.9552
-45.5500,-0.9780,0.9500,0.9500
-45.7500,-0.9931,1.0000,1.0000
-45.9500,-0.9960,1.0000,1.0000
-46.1500,-0.9881,1.0000,1.0000
-46.3500,-0.9669,0.9552,0.9552
-46.5535,-0.9183,0.9487,0.9487
-46.7541,-0.8444,0.9487,0.9487
-46.9593,-0.7459,0.9862,0.9862
-47.1636,-0.6187,0.9708,0.9708
-47.3660,-0.4711,0.9899,0.9899
-47.5600,-0.3033,0.9899,0.9899
-47.7405,-0.1206,0.9899,0.9899
-47.9105,0.0766,0.9708,0.9708
-48.0617,0.2831,1.0308,1.0308
-48.1915,0.4924,1.0296,1.0296
-48.2897,0.6965,1.0440,1.0440
-48.3586,0.9000,1.0308,1.0308
-48.4035,1.1035,1.0440,1.0440
-48.4194,1.3076,1.0548,1.0548
-48.4049,1.5099,1.0012,1.0012
-48.3554,1.7152,0.9823,0.9823
-48.2799,1.9127,0.9487,0.9487
-48.1734,2.1026,0.9849,0.9849
-48.0411,2.2834,0.9708,0.9708
-47.8837,2.4482,0.9552,0.9552
-47.7077,2.5885,0.9434,0.9434
-47.5220,2.7076,0.9552,0.9552
-47.3238,2.8038,0.9179,0.9179
-47.1188,2.8770,0.9341,0.9341
-46.9071,2.9290,0.9192,0.9192
-46.7000,2.9705,0.8631,0.8631
-46.5000,3.0081,0.8515,0.8515
-46.3000,3.0136,0.9055,0.9055
-46.1000,2.9943,0.9487,0.9487
-45.9000,2.9721,0.9500,0.9500
-45.7000,2.9353,0.9618,0.9618
-45.5000,2.9031,1.0000,1.0000
-45.3000,2.8744,1.1000,1.1000
-45.1000,2.8547,1.3086,1.3086
-44.9000,2.8454,1.2981,1.2981
-44.7000,2.8511,1.2093,1.2093
-44.5000,2.8724,1.2500,1.2500
-44.3000,2.9125,1.1885,1.1885
-44.1000,2.9700,1.2021,1.2021
-43.9000,3.0528,1.1543,1.1543
-43.7000,3.1435,1.1705,1.1705
-43.5000,3.2227,1.1853,1.1853
-43.3000,3.3128,1.1853,1.1853
-43.0965,3.4112,1.1662,1.1662
-42.8853,3.5109,1.1511,1.1511
-42.6748,3.6238,1.1662,1.1662
-42.4721,3.7473,1.1662,1.1662
-42.2828,3.8874,1.1927,1.1927
-42.1147,4.0391,1.2207,1.2207
-41.9643,4.1995,1.1102,1.1102
-41.8407,4.3711,0.9500,0.9500
-41.7386,4.5522,0.9000,0.9000
-41.6490,4.7400,0.8515,0.8515
-41.5721,4.9379,0.8382,0.8382
-41.5010,5.1382,0.8382,0.8382
