# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.7978,6.8357,1.0500,1.0500
-0.8415,6.7857,1.0000,1.0000
-0.8791,6.7357,0.9500,0.9500
-0.9111,6.6857,0.9500,0.9500
-0.9383,6.6357,0.9000,0.9000
-0.9612,6.5857,0.9000,0.9000
-0.9804,6.5357,0.8500,0.8500
-0.9967,6.4857,0.8500,0.8500
-1.0099,6.4357,0.8500,0.8500
-1.0232,6.3857,0.8000,0.8000
-1.0379,6.3357,0.8000,0.8000
-1.0484,6.2857,0.8000,0.8000
-1.0600,6.2357,0.8000,0.8000
-1.0677,6.1857,0.8000,0.8000
-1.0772,6.1357,0.7500,0.7500
-1.0839,6.0857,0.7500,0.7500
-1.0870,6.0357,0.7500,0.7500
-1.0926,5.9857,0.7500,0.7500
-1.0965,5.9357,0.7500,0.7500
-1.0984,5.8857,0.7500,0.7500
-1.0978,5.8357,0.7500,0.7500
-1.0943,5.7857,0.7500,0.7500
-1.0943,5.7357,0.7500,0.7500
-1.0943,5.6857,0.7500,0.7500
-1.0943,5.6357,0.7500,0.7500
-1.0943,5.5857,0.7500,0.7500
-1.0943,5.5357,0.7500,0.7500
-1.0943,5.4857,0.7500,0.7500
-1.0943,5.4357,0.7500,0.7500
-1.0943,5.3857,0.7500,0.7500
-1.0943,5.3357,0.7500,0.7500
-1.0943,5.2857,0.7500,0.7500
-1.0943,5.2357,0.7500,0.7500
-1.0943,5.1857,0.7500,0.7500
-1.0943,5.1357,0.7500,0.7500
-1.0943,5.0857,0.7500,0.7500
-1.0943,5.0357,0.7500,0.7500
-1.0943,4.9857,0.7500,0.7500
-1.0943,4.9357,0.7500,0.7500
-1.0943,4.8857,0.7500,0.7500
-1.0943,4.8357,0.7500,0.7500
-1.0943,4.7857,0.7500,0.7500
-1.0943,4.7357,0.7500,0.7500
-1.0943,4.6857,0.7500,0.7500
-1.0943,4.6357,0.7500,0.7500
-1.0943,4.5857,0.7500,0.7500
-1.0978,4.5357,0.7500,0.7500
-1.0984,4.4857,0.7500,0.7500
-1.0965,4.4357,0.7500,0.7500
-1.0926,4.3857,0.7500,0.7500
-1.0870,4.3357,0.7500,0.7500
-1.0804,4.2857,0.7500,0.7500
-1.0731,4.2357,0.7500,0.7500
-1.0655,4.1857,0.8000,0.8000
-1.0582,4.1357,0.8000,0.8000
-1.0515,4.0857,0.8000,0.8000
-1.0460,4.0357,0.8000,0.8000
-1.0421,3.9857,0.8000,0.8000
-1.0402,3.9357,0.8000,0.8000
-1.0407,3.8857,0.7906,0.7906
-1.0443,3.8357,0.7762,0.7762
-1.0443,3.7857,0.7649,0.7649
-1.0443,3.7357,0.7566,0.7566
-1.0443,3.6857,0.7517,0.7517
-1.0443,3.6357,0.7500,0.7500
-1.0443,3.5857,0.7500,0.7500
-1.0443,3.5357,0.7500,0.7500
-1.0478,3.4857,0.7500,0.7500
-1.0484,3.4357,0.7500,0.7500
-1.0465,3.3857,0.7500,0.7500
-1.0426,3.3357,0.7500,0.7500
-1.0370,3.2857,0.7500,0.7500
-1.0304,3.2357,0.7500,0.7500
-1.0231,3.1857,0.7500,0.7500
-1.0155,3.1357,0.8000,0.8000
-1.0082,3.0857,0.8000,0.8000
-1.0015,3.0357,0.8000,0.8000
-0.9960,2.9857,0.8000,0.8000
-0.9921,2.9357,0.8000,0.8000
-0.9902,2.8857,0.8000,0.8000
-0.9907,2.8357,0.8000,0.8000
-0.9943,2.7857,0.8000,0.8000
-0.9943,2.7357,0.8000,0.8000
-0.9943,2.6857,0.8000,0.8000
-0.9943,2.6357,0.8000,0.8000
-0.9943,2.5857,0.8000,0.8000
-0.9943,2.5357,0.8000,0.8000
-0.9943,2.4857,0.8000,0.8000
-0.9943,2.4357,0.8000,0.8000
-0.9943,2.3857,0.8000,0.8000
-0.9943,2.3357,0.8000,0.8000
-0.9943,2.2857,0.8000,0.8000
-0.9943,2.2357,0.8000,0.8000
-0.9943,2.1857,0.8000,0.8000
-0.9943,2.1357,0.8000,0.8000
-0.9943,2.0857,0.8000,0.8000
-0.9943,2.0357,0.8000,0.8000
-0.9943,1.9857,0.8000,0.8000
-0.9943,1.9357,0.8000,0.8000
-0.9943,1.8857,0.8000,0.8000
-0.9943,1.8357,0.8000,0.8000
-0.9943,1.7857,0.8000,0.8000
-0.9943,1.7357,0.8000,0.8000
-0.9943,1.6857,0.8000,0.8000
-0.9943,1.6357,0.8000,0.8000
-0.9943,1.5857,0.8000,0.8000
-0.9943,1.5357,0.8000,0.8000
-0.9943,1.4857,0.8000,0.8000
-0.9943,1.4357,0.8000,0.8000
-0.9943,1.3857,0.8000,0.8000
-0.9943,1.3357,0.8000,0.8000
-0.9943,1.2857,0.8000,0.8000
-0.9943,1.2357,0.8000,0.8000
-0.9943,1.1857,0.8000,0.8000
-0.9943,1.1357,0.8000,0.8000
-0.9943,1.0857,0.8000,0.8000
-0.9943,1.0357,0.8000,0.8000
-0.9943,0.9857,0.8000,0.8000
-0.9943,0.9357,0.8000,0.8000
-0.9978,0.8857,0.8000,0.8000
-0.9984,0.8357,0.8000,0.8000
-0.9965,0.7857,0.8000,0.8000
-0.9926,0.7357,0.8000,0.8000
-0.9870,0.6857,0.8000,0.8000
-0.9804,0.6357,0.8000,0.8000
-0.9766,0.5857,0.8000,0.8000
-0.9696,0.5357,0.8500,0.8500
-0.9604,0.4857,0.8500,0.8500
-0.9533,0.4357,0.8500,0.8500
-0.9464,0.3821,0.8500,0.8500
-0.9380,0.3316,0.8500,0.8500
-0.9271,0.2799,0.8500,0.8500
-0.9129,0.2297,0.9000,0.9000
-0.8952,0.1866,0.9000,0.9000
-0.8673,0.1455,0.9000,0.9000
-0.8330,0.1082,0.9014,0.9014
-0.7930,0.0757,0.9055,0.9055
-0.7483,0.0487,0.8631,0.8631
-0.7006,0.0311,0.8732,0.8732
-0.6519,0.0159,0.8860,0.8860
-0.5978,0.0032,0.8382,0.8382
-0.5443,-0.0079,0.8246,0.8246
-0.4943,-0.0184,0.8139,0.8139
-0.4443,-0.0300,0.8062,0.8062
-0.3943,-0.0378,0.8016,0.8016
-0.3443,-0.0472,0.7500,0.7500
-0.2943,-0.0540,0.7500,0.7500
-0.2443,-0.0571,0.7500,0.7500
-0.1943,-0.0626,0.7500,0.7500
-0.1443,-0.0665,0.7500,0.7500
-0.0943,-0.0649,0.7500,0.7500
-0.0443,-0.0637,0.7500,0.7500
0.0057,-0.0621,0.7500,0.7500
0.0557,-0.0660,0.7500,0.7500
0.1057,-0.0716,0.7500,0.7500
0.1557,-0.0782,0.7500,0.7500
0.2057,-0.0856,0.7500,0.7500
0.2557,-0.0931,0.7000,0.7000
0.3057,-0.1004,0.7000,0.7000
0.3557,-0.1071,0.7000,0.7000
0.4057,-0.1126,0.7018,0.7018
0.4557,-0.1165,0.7071,0.7071
0.5057,-0.1184,0.7159,0.7159
0.5557,-0.1179,0.7280,0.7280
0.6057,-0.1143,0.7433,0.7433
0.6557,-0.1143,0.7500,0.7500
0.7057,-0.1143,0.7500,0.7500
0.7557,-0.1143,0.7500,0.7500
0.8057,-0.1143,0.7500,0.7500
0.8557,-0.1143,0.7500,0.7500
0.9057,-0.1143,0.7500,0.7500
0.9557,-0.1143,0.7500,0.7500
1.0057,-0.1143,0.7500,0.7500
1.0557,-0.1143,0.7500,0.7500
1.1057,-0.1143,0.7500,0.7500
1.1557,-0.1143,0.7500,0.7500
1.2057,-0.1143,0.7500,0.7500
1.2557,-0.1143,0.7500,0.7500
1.3057,-0.1143,0.7500,0.7500
1.3557,-0.1143,0.7500,0.7500
1.4057,-0.1143,0.7500,0.7500
1.4557,-0.1143,0.7500,0.7500
1.5057,-0.1143,0.7500,0.7500
1.5557,-0.1143,0.7500,0.7500
1.6057,-0.1143,0.7500,0.7500
1.6557,-0.1143,0.7500,0.7500
1.7057,-0.1143,0.7500,0.7500
1.7557,-0.1143,0.7500,0.7500
1.8057,-0.1143,0.7500,0.7500
1.8557,-0.1143,0.7500,0.7500
1.9057,-0.1143,0.7500,0.7500
1.9557,-0.1143,0.7500,0.7500
2.0057,-0.1143,0.7500,0.7500
2.0557,-0.1143,0.7500,0.7500
2.1057,-0.1143,0.7500,0.7500
2.1557,-0.1179,0.7500,0.7500
2.2057,-0.1184,0.7500,0.7500
2.2557,-0.1165,0.7500,0.7500
2.3057,-0.1126,0.7500,0.7500
2.3557,-0.1071,0.7500,0.7500
2.4057,-0.1004,0.7500,0.7500
2.4557,-0.0931,0.7500,0.7500
2.5057,-0.0856,0.8000,0.8000
2.5557,-0.0782,0.8000,0.8000
2.6057,-0.0716,0.8000,0.8000
2.6557,-0.0660,0.8000,0.8000
2.7057,-0.0621,0.8000,0.8000
2.7557,-0.0602,0.8000,0.8000
2.8057,-0.0608,0.8000,0.8000
2.8557,-0.0643,0.8000,0.8000
2.9057,-0.0643,0.8000,0.8000
2.9557,-0.0643,0.8000,0.8000
3.0057,-0.0679,0.8000,0.8000
3.0557,-0.0684,0.8000,0.8000
3.1057,-0.0665,0.8000,0.8000
3.1557,-0.0626,0.8000,0.8000
3.2057,-0.0571,0.8000,0.8000
3.2557,-0.0540,0.7906,0.7906
3.3057,-0.0472,0.7762,0.7762
3.3557,-0.0413,0.8139,0.8139
3.4057,-0.0306,0.8062,0.8062
3.4557,-0.0165,0.8016,0.8016
3.5057,-0.0040,0.8000,0.8000
3.5593,0.0087,0.8000,0.8000
3.6134,0.0226,0.8500,0.8500
3.6656,0.0384,0.8500,0.8500
3.7103,0.0563,0.9000,0.9000
3.7525,0.0830,0.9000,0.9000
3.7905,0.1149,0.9000,0.9000
3.8232,0.1511,0.9000,0.9000
3.8500,0.1905,0.9000,0.9000
3.8705,0.2316,0.9000,0.9000
3.8851,0.2793,0.9000,0.9000
3.8979,0.3280,0.8500,0.8500
3.9036,0.3821,0.8500,0.8500
3.9042,0.4357,0.8500,0.8500
3.9023,0.4857,0.8500,0.8500
3.9007,0.5357,0.8500,0.8500
3.8959,0.5857,0.8500,0.8500
3.8880,0.6357,0.8500,0.8500
3.8769,0.6857,0.8246,0.8246
3.8696,0.7357,0.8139,0.8139
3.8630,0.7857,0.8062,0.8062
3.8574,0.8357,0.8016,0.8016
3.8535,0.8857,0.8000,0.8000
3.8516,0.9357,0.8000,0.8000
3.8522,0.9857,0.8000,0.8000
3.8557,1.0357,0.8016,0.8016
3.8557,1.0857,0.8062,0.8062
3.8557,1.1357,0.8139,0.8139
3.8557,1.1857,0.8246,0.8246
3.8557,1.2357,0.8382,0.8382
3.8557,1.2857,0.8500,0.8500
3.8593,1.3357,0.8500,0.8500
3.8598,1.3857,0.8500,0.8500
3.8615,1.4357,0.8500,0.8500
3.8617,1.4892,0.8500,0.8500
3.8583,1.5433,0.8500,0.8500
3.8500,1.5920,0.8500,0.8500
3.8354,1.6397,0.8515,0.8515
3.8140,1.6844,0.9055,0.9055
3.7854,1.7244,0.9124,0.9124
3.7500,1.7587,0.9000,0.9000
3.7083,1.7866,0.9000,0.9000
3.6617,1.8078,0.9000,0.9000
3.6115,1.8226,0.8500,0.8500
3.5598,1.8316,0.8500,0.8500
3.5093,1.8361,0.8500,0.8500
3.4557,1.8375,0.8500,0.8500
3.4057,1.8379,0.8500,0.8500
3.3557,1.8398,0.8500,0.8500
3.3057,1.8392,0.8500,0.8500
3.2557,1.8357,0.8500,0.8500
3.2057,1.8357,0.8382,0.8382
3.1557,1.8357,0.8246,0.8246
3.1057,1.8357,0.8139,0.8139
3.0557,1.8357,0.8062,0.8062
3.0057,1.8357,0.8016,0.8016
2.9557,1.8357,0.8000,0.8000
2.9057,1.8357,0.8000,0.8000
2.8557,1.8357,0.8000,0.8000
2.8057,1.8357,0.8000,0.8000
2.7557,1.8357,0.8000,0.8000
2.7057,1.8357,0.8000,0.8000
2.6557,1.8357,0.8000,0.8000
2.6057,1.8357,0.8000,0.8000
2.5557,1.8357,0.8000,0.8000
2.5057,1.8357,0.8000,0.8000
2.4557,1.8357,0.8000,0.8000
2.4057,1.8357,0.8000,0.8000
2.3557,1.8357,0.8000,0.8000
2.3057,1.8357,0.8000,0.8000
2.2557,1.8357,0.8000,0.8000
2.2057,1.8357,0.8000,0.8000
2.1557,1.8357,0.8000,0.8000
2.1057,1.8357,0.8000,0.8000
2.0557,1.8357,0.8000,0.8000
2.0057,1.8321,0.8000,0.8000
1.9557,1.8316,0.8000,0.8000
1.9057,1.8335,0.8000,0.8000
1.8557,1.8374,0.8000,0.8000
1.8057,1.8429,0.8000,0.8000
1.7557,1.8496,0.8000,0.8000
1.7057,1.8534,0.8000,0.8000
1.6557,1.8603,0.8500,0.8500
1.6057,1.8696,0.8500,0.8500
1.5557,1.8802,0.8500,0.8500
1.5057,1.8912,0.8515,0.8515
1.4557,1.8983,0.8559,0.8559
1.4057,1.9034,0.8631,0.8631
1.3522,1.9081,0.9220,0.9220
1.2981,1.9136,0.9341,0.9341
1.2494,1.9275,0.9487,0.9487
1.2017,1.9469,0.9500,0.9500
1.1570,1.9721,0.9500,0.9500
1.1170,2.0028,0.9500,0.9500
1.0862,2.0383,0.9000,0.9000
1.0589,2.0775,0.9000,0.9000
1.0358,2.1258,0.9000,0.9000
1.0171,2.1780,0.8500,0.8500
1.0025,2.2321,0.8500,0.8500
0.9914,2.2857,0.8500,0.8500
0.9862,2.3357,0.8500,0.8500
0.9788,2.3857,0.8000,0.8000
0.9677,2.4357,0.8000,0.8000
0.9577,2.4857,0.8000,0.8000
0.9502,2.5357,0.8000,0.8000
0.9396,2.5857,0.8000,0.8000
0.9304,2.6357,0.8000,0.8000
0.9234,2.6857,0.7500,0.7500
0.9196,2.7357,0.7500,0.7500
0.9130,2.7857,0.7500,0.7500
0.9074,2.8357,0.7500,0.7500
0.9035,2.8857,0.7500,0.7500
0.9016,2.9357,0.7500,0.7500
0.9022,2.9857,0.7500,0.7500
0.9057,3.0357,0.7500,0.7500
0.9057,3.0857,0.7500,0.7500
0.9057,3.1357,0.7500,0.7500
0.9057,3.1857,0.7500,0.7500
0.9057,3.2357,0.7517,0.7517
0.9057,3.2857,0.7566,0.7566
0.9057,3.3357,0.7649,0.7649
0.9057,3.3857,0.7762,0.7762
0.9057,3.4357,0.7906,0.7906
0.9057,3.4857,0.8000,0.8000
0.9057,3.5357,0.8000,0.8000
0.9057,3.5857,0.8000,0.8000
0.9057,3.6357,0.8000,0.8000
0.9057,3.6857,0.8000,0.8000
0.9057,3.7357,0.8000,0.8000
0.9057,3.7857,0.8000,0.8000
0.9057,3.8357,0.8000,0.8000
0.9057,3.8857,0.8000,0.8000
0.9057,3.9357,0.8000,0.8000
0.9093,3.9857,0.8000,0.8000
0.9098,4.0357,0.8000,0.8000
0.9079,4.0857,0.8000,0.8000
0.9040,4.1357,0.8000,0.8000
0.8985,4.1857,0.8000,0.8000
0.8918,4.2357,0.8000,0.8000
0.8845,4.2857,0.8000,0.8000
0.8769,4.3357,0.8000,0.8000
0.8696,4.3857,0.8000,0.8000
0.8630,4.4357,0.8000,0.8000
0.8574,4.4857,0.8000,0.8000
0.8535,4.5357,0.8000,0.8000
0.8516,4.5857,0.8000,0.8000
0.8522,4.6357,0.8000,0.8000
0.8557,4.6857,0.8000,0.8000
0.8557,4.7357,0.8000,0.8000
0.8557,4.7857,0.8000,0.8000
0.8557,4.8357,0.8000,0.8000
0.8557,4.8857,0.8000,0.8000
0.8557,4.9357,0.8000,0.8000
0.8557,4.9857,0.8000,0.8000
0.8557,5.0357,0.8000,0.8000
0.8557,5.0857,0.8000,0.8000
0.8557,5.1357,0.8000,0.8000
0.8557,5.1857,0.8016,0.8016
0.8557,5.2357,0.8062,0.8062
0.8557,5.2857,0.8139,0.8139
0.8557,5.3357,0.8062,0.8062
0.8557,5.3857,0.8016,0.8016
0.8557,5.4357,0.8000,0.8000
0.8557,5.4857,0.8000,0.8000
0.8557,5.5357,0.8000,0.8000
0.8557,5.5857,0.8000,0.8000
0.8557,5.6357,0.8000,0.8000
0.8557,5.6857,0.8016,0.8016
0.8557,5.7357,0.8062,0.8062
0.8557,5.7857,0.8139,0.8139
0.8593,5.8357,0.8246,0.8246
0.8598,5.8857,0.8382,0.8382
0.8579,5.9357,0.8500,0.8500
0.8540,5.9857,0.8500,0.8500
0.8485,6.0357,0.8500,0.8500
0.8454,6.0857,0.8500,0.8500
0.8386,6.1357,0.8500,0.8500
0.8292,6.1857,0.8860,0.8860
0.8179,6.2357,0.8732,0.8732
0.8093,6.2857,0.8631,0.8631
0.7977,6.3357,0.8559,0.8559
0.7880,6.3857,0.8515,0.8515
0.7788,6.4357,0.9000,0.9000
0.7687,6.4857,0.9000,0.9000
0.7572,6.5357,0.9000,0.9000
0.7371,6.5892,0.9000,0.9000
0.7117,6.6433,0.9500,0.9500
0.6813,6.6955,0.9500,0.9500
0.6464,6.7438,1.0000,1.0000
0.6083,6.7866,1.0500,1.0500
0.5617,6.8227,1.1000,1.1000
0.5115,6.8515,1.1500,1.1500
0.4598,6.8727,1.1673,1.1673
0.4093,6.8866,1.1769,1.1769
0.3557,6.8938,1.1705,1.1705
0.3057,6.8955,1.1543,1.1543
0.2557,6.8933,1.1402,1.1402
0.2057,6.8892,1.1281,1.1281
0.1557,6.8857,1.1180,1.1180
0.1057,6.8857,1.1102,1.1102
0.0557,6.8857,1.1045,1.1045
